At index: 4 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 1942 Name: Tsareena, Ability Category: 0, Ability Name: Queenly Majesty 
At index: 1946 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 1990 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 2013 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 2033 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 2164 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 2183 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 2204 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 2213 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 2218 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 2253 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 2255 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 2303 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 2318 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 2360 Name: Tsareena, Ability Category: 0, Ability Name: Queenly Majesty 
At index: 2366 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 2465 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 2574 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 2586 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 2606 Name: Tsareena, Ability Category: 0, Ability Name: Queenly Majesty 
At index: 2661 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 2704 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 2729 Name: Rhydon, Ability Category: 0, Ability Name: Lightning Rod 
At index: 2735 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 2770 Name: Dragonite, Ability Category: 0, Ability Name: Inner Focus 
At index: 2777 Name: Garganacl, Ability Category: 0, Ability Name: Purifying Salt 
At index: 2784 Name: Cresselia, Ability Category: 0, Ability Name: Levitate 
At index: 2799 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 2804 Name: Pikachu, Ability Category: 0, Ability Name: Lightning Rod 
At index: 2812 Name: Ceruledge, Ability Category: 0, Ability Name: Flash Fire 
At index: 2813 Name: Zebstrika, Ability Category: 0, Ability Name: Lightning Rod 
At index: 2828 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 2849 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 2908 Name: Rhyperior, Ability Category: 0, Ability Name: Lightning Rod 
At index: 2951 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 3010 Name: Dragonite, Ability Category: 0, Ability Name: Inner Focus 
At index: 3018 Name: Giratina-Origin, Ability Category: 0, Ability Name: Levitate 
At index: 3028 Name: Crabominable, Ability Category: 0, Ability Name: Hyper Cutter 
At index: 3062 Name: Quagsire, Ability Category: 0, Ability Name: Water Absorb 
At index: 3065 Name: Rhydon, Ability Category: 0, Ability Name: Lightning Rod 
At index: 3133 Name: Entei, Ability Category: 0, Ability Name: Inner Focus 
At index: 3168 Name: Bayleef, Ability Category: 0, Ability Name: Leaf Guard 
At index: 3182 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 3184 Name: Rhydon, Ability Category: 0, Ability Name: Lightning Rod 
At index: 3191 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 3325 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 3387 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 3389 Name: Solgaleo, Ability Category: 0, Ability Name: Full Metal Body 
At index: 3445 Name: Alcremie, Ability Category: 0, Ability Name: Sweet Veil 
At index: 3526 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 3556 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 3567 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 3577 Name: Entei, Ability Category: 0, Ability Name: Inner Focus 
At index: 3592 Name: Tsareena, Ability Category: 0, Ability Name: Queenly Majesty 
At index: 3597 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 3670 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 3680 Name: Azelf, Ability Category: 0, Ability Name: Levitate 
At index: 3769 Name: Giratina-Origin, Ability Category: 0, Ability Name: Levitate 
At index: 3771 Name: Entei, Ability Category: 0, Ability Name: Inner Focus 
At index: 3794 Name: Enamorus-Therian, Ability Category: 0, Ability Name: Overcoat 
At index: 3835 Name: Raichu, Ability Category: 0, Ability Name: Lightning Rod 
At index: 3891 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 3922 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 3978 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 3999 Name: Entei, Ability Category: 0, Ability Name: Inner Focus 
At index: 4009 Name: Solgaleo, Ability Category: 0, Ability Name: Full Metal Body 
At index: 4071 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 4083 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 4100 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 4120 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 4127 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 4167 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 4186 Name: Entei, Ability Category: 0, Ability Name: Inner Focus 
At index: 4192 Name: Rhyperior, Ability Category: 0, Ability Name: Lightning Rod 
At index: 4215 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 4233 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 4293 Name: Alcremie, Ability Category: 0, Ability Name: Sweet Veil 
At index: 4360 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 4369 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 4438 Name: Mandibuzz, Ability Category: 0, Ability Name: Overcoat 
At index: 4444 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 4462 Name: Tsareena, Ability Category: 0, Ability Name: Sweet Veil 
At index: 4504 Name: Armarouge, Ability Category: 0, Ability Name: Flash Fire 
At index: 4544 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 4566 Name: Giratina-Origin, Ability Category: 0, Ability Name: Levitate 
At index: 4572 Name: Giratina-Origin, Ability Category: 0, Ability Name: Levitate 
At index: 4598 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 4614 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 4616 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 4623 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 4642 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 4649 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 4678 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 4679 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 4705 Name: Rhydon, Ability Category: 0, Ability Name: Lightning Rod 
At index: 4726 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 4727 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 4766 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 4786 Name: Entei, Ability Category: 0, Ability Name: Inner Focus 
At index: 4816 Name: Suicune, Ability Category: 0, Ability Name: Inner Focus 
At index: 4822 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 4874 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 4894 Name: Smeargle, Ability Category: 0, Ability Name: Own Tempo 
At index: 4898 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 4909 Name: Rhydon, Ability Category: 0, Ability Name: Lightning Rod 
At index: 4931 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 4947 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 4991 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5027 Name: Entei, Ability Category: 0, Ability Name: Inner Focus 
At index: 5031 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5104 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5108 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5152 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5157 Name: Oranguru, Ability Category: 0, Ability Name: Inner Focus 
At index: 5206 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5213 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5218 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5261 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5303 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5309 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 5324 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5387 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5392 Name: Dondozo, Ability Category: 0, Ability Name: Oblivious 
At index: 5415 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5423 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5437 Name: Giratina-Origin, Ability Category: 0, Ability Name: Levitate 
At index: 5512 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5516 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5590 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5594 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5639 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5668 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5674 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 5682 Name: Vaporeon, Ability Category: 0, Ability Name: Water Absorb 
At index: 5710 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5729 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5735 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5738 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5753 Name: Gastrodon-East, Ability Category: 0, Ability Name: Storm Drain 
At index: 5773 Name: Solgaleo, Ability Category: 0, Ability Name: Full Metal Body 
At index: 5789 Name: Umbreon, Ability Category: 0, Ability Name: Inner Focus 
At index: 5800 Name: Ogerpon-Wellspring, Ability Category: 0, Ability Name: Water Absorb 
At index: 5817 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5907 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5913 Name: Smeargle, Ability Category: 0, Ability Name: Own Tempo 
At index: 5944 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 5950 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 6033 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 6136 Name: Dragonite, Ability Category: 0, Ability Name: Inner Focus 
At index: 6141 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 6155 Name: Tsareena, Ability Category: 0, Ability Name: Queenly Majesty 
At index: 6161 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 6185 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
At index: 6196 Name: Farigiraf, Ability Category: 0, Ability Name: Armor Tail 
Set of Names: {'Mienshao', 'Annihilape', 'Tsareena', 'Ogerpon-Wellspring', 'Goodra-Hisui', 'Cresselia', 'Alcremie', 'Solgaleo', 'Giratina-Origin', 'Rhyperior', 'Smeargle', 'Azelf', 'Chesnaught', 'Garganacl', 'Ceruledge', 'Vaporeon', 'Bayleef', 'Gastrodon-East', 'Gastrodon', 'Suicune', 'Raichu', 'Pikachu', 'Zebstrika', 'Dondozo', 'Bruxish', 'Rhydon', 'Crabominable', 'Enamorus-Therian', 'Armarouge', 'Umbreon', 'Lucario', 'Haunter', 'Mandibuzz', 'Jolteon', 'Oranguru', 'Latios', 'Quagsire', 'Dragonite', 'Farigiraf', 'Bronzong', 'Entei'}
