item,ability,nature,evs.ev_hp,evs.ev_attack,evs.ev_defense,evs.ev_special_attack,evs.ev_special_defense,evs.ev_speed,ivs.iv_hp,ivs.iv_attack,ivs.iv_defense,ivs.iv_special_attack,ivs.iv_special_defense,ivs.iv_speed,moves.move_1,moves.move_2,moves.move_3,moves.move_4
3,8,6,0,0,0,0,0,0,31,31,31,31,31,31,11,4,3,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,2,8
2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
2,4,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,2,9
2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,11,1,2,3
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,3,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,8
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,10,11,2
2,0,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
2,4,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,3,2
3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,2
2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,1,9,8
2,4,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,0,8
3,8,6,0,0,0,0,0,0,31,31,31,31,31,31,4,3,11,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,8,0,11,11
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,8,2,11,11
3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,8,10,10,10
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
3,6,6,0,0,0,0,0,0,31,31,31,31,31,31,8,3,3,5
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,8,11,11,11
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,11,10
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,3,8
2,4,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,3
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,8
3,8,6,0,0,0,0,0,0,31,31,31,31,31,31,4,3,8,11
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,1,9,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,3,4,0
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
2,4,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,0,8
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,9,8
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,4,10,10,0
3,8,6,0,0,0,0,0,0,31,31,31,31,31,31,11,4,3,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,2
2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
2,4,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,2,9
3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,11,1,3,2
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,0,11,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,8
2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,3
3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,0,3
2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,3
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,1,11,2,3
3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,3,11,3,9
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
1,5,6,0,0,0,0,0,0,31,31,31,31,31,31,11,4,1,8
2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
3,6,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,1,8
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,9,8
2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,2
2,0,6,0,0,0,0,0,0,31,31,31,31,31,31,11,10,9,3
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,0,2,3
2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,9,8
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
3,8,6,0,0,0,0,0,0,31,31,31,31,31,31,11,4,3,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,2,8
3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,2
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,0,4,3
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,0,8
3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,11,1,1,3
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
3,8,6,0,0,0,0,0,0,31,31,31,31,31,31,4,3,11,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,9,8
2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,0,10
2,0,6,0,0,0,0,0,0,31,31,31,31,31,31,10,6,3,9
3,6,2,252,0,172,0,84,0,31,0,31,31,31,0,3,3,5,8
3,2,4,236,4,84,0,132,52,31,31,31,31,31,31,10,0,10,6
3,1,1,252,44,4,0,92,116,31,31,31,31,31,31,10,10,10,10
3,2,3,188,0,132,36,4,148,31,0,31,31,31,31,11,11,0,8
2,1,3,44,0,4,252,12,196,31,31,31,31,31,31,11,11,11,11
2,4,5,252,0,100,20,4,132,31,0,31,31,31,31,11,0,11,8
3,1,3,164,0,20,212,4,108,31,31,31,31,31,31,11,11,11,8
3,8,1,204,156,100,0,12,36,31,31,31,31,31,31,10,10,1,8
2,3,1,4,236,0,0,12,252,31,31,31,31,31,31,10,10,10,10
3,2,1,0,252,4,0,0,252,31,31,31,31,31,31,10,10,10,8
3,6,2,252,0,180,0,76,0,31,0,31,31,31,0,3,3,3,8
2,2,5,0,252,0,0,4,252,31,31,31,31,31,31,8,10,10,10
3,2,5,0,0,4,252,0,252,31,0,31,31,31,31,11,11,3,8
2,2,2,220,0,156,0,0,132,31,31,31,31,31,31,10,10,2,8
3,2,5,252,4,36,0,84,132,31,31,31,31,31,31,10,11,10,10
2,2,3,4,0,0,252,0,252,31,0,31,31,31,31,11,11,11,11
2,4,5,0,252,4,0,0,252,31,31,31,31,31,31,10,10,3,2
3,8,2,236,0,236,0,36,0,31,0,31,31,31,0,11,4,3,8
2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,3,2
3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,0,10,3
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,4,10,3,2
2,2,6,0,0,0,0,0,0,31,0,31,31,31,31,8,11,0,11
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,8
3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
2,4,6,0,0,0,0,0,0,31,0,31,31,31,31,11,11,9,2
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,3,8
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
3,3,6,0,0,0,0,0,0,31,0,31,31,31,31,11,2,3,1
2,2,1,92,236,36,0,4,140,31,31,31,31,31,31,10,10,10,1
3,1,3,252,0,4,236,4,12,31,31,31,31,31,31,11,11,11,11
2,2,5,180,156,4,0,4,164,31,31,31,31,31,31,8,10,10,0
3,2,5,0,252,4,0,0,252,31,31,31,31,31,31,8,10,11,10
2,5,2,252,0,196,4,52,4,31,31,31,31,31,31,8,10,11,2
2,2,5,252,0,88,0,68,100,31,0,31,31,31,31,8,3,4,0
2,2,5,132,0,84,148,4,140,31,0,31,31,31,31,11,11,0,8
2,1,3,252,0,116,20,4,108,31,31,31,31,31,31,11,11,11,11
2,2,5,4,0,0,252,0,252,31,0,31,31,31,31,11,11,11,11
3,2,2,252,0,180,0,76,0,31,31,31,31,31,31,10,4,0,10
3,3,5,252,0,12,4,212,28,31,0,31,31,31,31,11,1,3,3
3,2,1,172,196,4,0,132,0,31,31,31,31,31,31,10,10,10,10
3,2,1,252,164,4,0,84,4,31,31,31,31,31,31,10,10,8,9
2,1,1,0,252,0,0,4,252,31,31,31,31,31,31,10,10,10,8
3,2,5,252,0,0,0,4,252,31,0,31,31,31,31,4,1,3,3
2,2,3,0,0,0,252,4,252,31,0,31,31,31,31,11,11,11,11
3,2,5,0,0,4,252,0,252,31,0,31,31,31,31,11,11,11,8
3,2,1,84,172,0,0,252,0,31,31,31,31,31,0,10,10,10,10
2,4,3,4,0,0,252,0,252,31,0,31,31,31,31,11,11,8,11
3,2,5,28,0,84,140,4,252,31,0,31,31,31,31,11,11,8,0
3,6,2,244,0,180,0,84,0,31,0,31,31,31,28,3,8,3,5
2,2,3,132,0,4,116,4,252,31,0,31,31,31,31,11,11,11,11
3,0,5,4,252,0,0,0,252,31,31,31,31,31,31,10,10,2,10
3,5,2,252,4,12,0,180,60,31,31,31,31,31,31,10,4,8,2
3,1,3,236,0,4,252,4,12,31,31,31,31,31,31,11,11,11,8
3,1,1,0,252,0,12,0,244,31,31,31,31,31,31,10,10,11,8
2,2,1,76,236,0,0,0,196,31,31,31,31,31,31,10,10,10,11
2,4,2,252,0,204,0,52,0,31,0,31,31,31,31,11,3,1,8
3,3,2,252,4,220,0,28,4,31,31,31,31,31,31,10,1,2,7
2,3,1,76,236,4,0,28,164,31,31,31,31,31,31,10,10,10,2
2,1,3,140,0,4,196,4,164,31,31,31,31,31,31,11,11,11,11
2,2,2,164,4,236,0,4,100,31,31,31,31,31,31,8,10,10,2
3,2,1,76,156,84,0,4,188,31,31,31,31,31,31,8,11,10,10
2,0,1,148,252,0,0,0,108,31,31,31,31,31,31,8,10,10,10
3,3,5,0,0,220,0,68,220,31,0,31,31,31,31,10,1,3,0
3,2,1,228,132,36,0,84,28,31,31,31,31,31,31,10,10,10,10
2,1,3,108,0,0,196,0,204,31,31,31,31,31,31,11,11,11,11
2,2,2,204,4,252,0,4,44,31,31,31,31,31,31,10,10,2,8
3,2,5,0,252,4,0,0,252,31,31,31,31,31,31,10,10,11,8
2,4,5,0,252,4,0,0,252,31,31,31,31,31,31,10,3,3,2
3,3,2,252,0,116,4,132,4,31,0,31,31,31,31,11,3,1,2
3,2,1,244,196,4,0,4,60,31,31,31,31,31,31,10,10,10,10
3,3,4,212,0,12,4,252,28,31,0,31,31,31,31,0,11,1,2
2,1,3,12,0,4,220,20,252,31,31,31,31,31,31,11,11,11,11
2,2,3,116,0,4,252,4,132,31,20,31,31,31,31,11,11,11,8
2,2,3,0,0,0,252,4,252,31,0,31,31,31,31,11,11,11,11
2,1,5,0,252,0,0,4,252,31,31,31,31,31,31,10,10,10,8
3,2,5,0,0,0,252,4,252,31,0,31,31,31,31,11,11,9,2
2,1,3,52,0,4,196,4,252,31,31,31,31,31,31,11,11,11,11
2,2,2,204,4,156,0,68,76,31,31,31,31,31,31,10,10,2,8
3,2,5,0,252,4,0,0,252,31,31,31,31,31,31,10,10,11,8
2,4,5,244,0,116,4,4,140,31,0,31,31,31,31,11,11,0,8
3,2,4,236,0,0,0,20,252,31,31,31,31,31,31,10,10,10,10
3,8,2,236,0,188,0,84,0,31,0,31,31,31,26,4,11,3,8
3,0,5,4,0,0,252,0,252,31,0,31,31,31,31,11,11,1,3
3,1,1,252,244,0,0,0,12,31,31,31,31,31,31,10,10,10,10
2,3,5,0,252,0,0,4,252,31,31,31,31,31,31,10,10,10,10
2,2,2,204,0,236,0,0,68,31,31,31,31,31,31,10,10,0,8
2,4,3,4,0,0,252,0,252,31,0,31,31,31,31,11,11,11,2
2,1,3,252,0,0,252,4,0,31,0,31,31,31,0,11,11,3,8
3,1,1,252,212,0,0,44,0,31,31,31,31,31,31,10,10,10,10
2,4,3,4,0,0,252,0,252,31,0,31,31,31,31,11,11,1,2
2,2,3,68,0,4,236,20,180,31,20,31,31,31,31,11,11,11,8
3,2,5,0,4,0,148,0,252,0,31,0,31,0,31,10,10,10,8
3,2,2,252,4,156,0,92,4,31,31,31,31,31,31,10,10,10,2
2,2,5,0,252,4,0,0,252,31,31,31,31,31,31,10,10,10,8
3,1,1,252,132,4,0,100,20,31,31,31,31,31,31,10,10,10,8
3,1,3,252,0,20,212,4,20,31,31,31,31,31,31,11,11,11,11
2,3,4,228,4,156,0,116,4,31,31,31,31,31,31,2,10,2,4
3,2,2,252,4,188,0,60,4,31,31,31,31,31,31,10,0,4,10
3,3,2,252,0,252,0,4,0,31,30,31,31,31,0,7,2,2,2
2,0,2,204,0,164,28,108,4,31,0,31,31,31,31,11,10,11,9
2,2,1,252,4,68,0,180,4,31,31,31,31,31,31,10,1,9,8
3,2,5,0,4,252,0,0,252,31,31,31,31,31,31,10,3,4,0
2,1,3,68,0,0,236,0,204,31,31,31,31,31,31,11,11,11,8
2,2,1,0,252,0,0,4,252,31,31,31,31,31,31,10,10,10,8
2,3,3,244,0,4,76,4,180,31,31,31,31,31,31,1,11,2,8
2,2,1,0,252,0,0,4,252,31,31,31,31,31,31,10,3,2,3
2,1,5,4,0,0,252,0,252,31,31,31,31,31,31,11,11,11,11
3,2,1,252,252,4,0,0,0,31,31,31,31,31,0,10,2,9,8
3,2,5,4,0,0,252,0,252,31,31,31,31,31,31,11,10,10,10
2,3,1,156,196,36,0,20,100,31,31,31,31,31,31,10,10,10,10
2,2,1,140,172,60,0,132,4,31,31,31,31,31,31,10,10,8,10
2,3,1,252,76,100,0,4,76,31,31,31,31,31,31,10,10,3,2
3,2,1,252,252,0,0,4,0,31,31,31,31,31,31,10,10,9,8
2,3,4,252,0,212,0,36,0,31,31,31,31,31,31,10,4,2,2
3,1,5,200,248,0,0,36,16,31,31,31,31,31,31,10,10,10,10
2,2,5,100,0,64,180,4,156,31,0,31,31,31,31,11,11,11,8
3,4,2,132,0,212,100,4,60,31,0,31,31,31,31,11,8,11,3
2,2,3,220,0,0,252,12,0,31,20,31,31,31,31,11,11,8,11
2,4,3,0,0,4,244,4,252,31,15,31,31,31,31,11,11,11,11
3,2,5,4,0,252,0,0,252,31,31,31,31,31,31,10,4,0,3
2,2,5,28,0,4,220,4,252,31,0,31,31,31,31,11,11,0,8
3,2,1,84,236,76,0,108,0,31,31,31,31,31,0,10,10,10,10
2,2,3,4,0,0,252,0,252,31,0,31,31,31,31,11,11,11,11
3,3,5,188,0,0,52,236,28,31,0,31,31,31,31,11,1,0,3
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,8,0,11,11
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,4,3,0
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,8,10,2,10
3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,0,2
2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,3,2
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,0,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,8
3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,3,2
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,0,10,10,3
3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,8
2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,8,0
2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,3,2
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,0,3
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,4,0,3,10
3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,11,2,1,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,0,8
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,9,8
2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
2,0,6,0,0,0,0,0,0,31,31,31,31,31,31,11,10,3,9
