name,item,gender,ability,level,tera_type,nature,evs.ev_hp,evs.ev_attack,evs.ev_defense,evs.ev_special_attack,evs.ev_special_defense,evs.ev_speed,ivs.iv_hp,ivs.iv_attack,ivs.iv_defense,ivs.iv_special_attack,ivs.iv_special_defense,ivs.iv_speed,moves.move_1,moves.move_2,moves.move_3,moves.move_4
Urshifu-Rapid-Strike,Choice Scarf,Female,Unseen Fist,50,Ghost,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Surging Strikes,Aqua Jet,U-turn,Close Combat
Flutter Mane,Focus Sash,Genderless,Protosynthesis,50,Fairy,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Moonblast,Icy Wind,Shadow Ball,Taunt
Amoonguss,Rocky Helmet,Female,Regenerator,50,Water,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Rage Powder,Pollen Puff,Spore,Protect
Calyrex-Ice,Leftovers,Genderless,As One,50,Fairy,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Glacial Lance,Trick Room,Leech Seed,Protect
Miraidon,Life Orb,Genderless,Hadron Engine,50,Electric,Modest,0,0,4,252,0,252,31,31,31,31,31,31,Draco Meteor,Electro Drift,Volt Switch,Protect
Calyrex-Ice,Clear Amulet,Genderless,As One,50,Water,Adamant,236,116,4,0,108,44,31,31,31,31,31,31,Glacial Lance,High Horsepower,Trick Room,Protect
Urshifu-Rapid-Strike,Focus Sash,Male,Unseen Fist,50,Stellar,Adamant,0,252,0,0,4,252,31,31,31,31,31,31,Close Combat,Surging Strikes,Aqua Jet,Detect
Sneasler,Electric Seed,Female,Unburden,50,Dark,Adamant,228,156,4,0,4,116,31,31,31,31,31,31,Low Kick,Dire Claw,Throat Chop,Protect
Incineroar,Assault Vest,Female,Intimidate,50,Bug,Adamant,252,36,44,0,60,116,31,31,31,31,31,31,Flare Blitz,Knock Off,U-turn,Fake Out
Ditto,Choice Scarf,Male,Imposter,50,Ghost,Timid,252,0,4,0,0,252,31,0,31,31,31,31,Transform,Blank,Blank,Blank
Urshifu-Rapid-Strike,Choice Band,Male,Unseen Fist,50,Ghost,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Close Combat,Surging Strikes,Aqua Jet,U-turn
Chien-Pao,Focus Sash,Genderless,Sword of Ruin,50,Ghost,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Ice Spinner,Sucker Punch,Taunt,Protect
Zamazenta,Rusted Shield,Genderless,Dauntless Shield,50,Dragon,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Body Press,Heavy Slam,Wide Guard,Protect
Raging Bolt,Booster Energy,Genderless,Protosynthesis,50,Electric,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Thunderbolt,Thunderclap,Dragon Pulse,Protect
Calyrex-Shadow,Life Orb,Genderless,As One,50,Dark,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Astral Barrage,Psychic,Substitute,Protect
Whimsicott,Covert Cloak,Female,Prankster,50,Dark,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Moonblast,Encore,Fake Tears,Tailwind
Ogerpon-Hearthflame,Hearthflame Mask,Female,Mold Breaker,50,Fire,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Helping Hand,Ivy Cudgel,Follow Me,Spiky Shield
Raging Bolt,Booster Energy,Genderless,Protosynthesis,50,Electric,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Thunderbolt,Thunderclap,Dragon Pulse,Protect
Whimsicott,Covert Cloak,Male,Prankster,50,Dark,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Moonblast,Tailwind,Fake Tears,Encore
Chien-Pao,Focus Sash,Genderless,Sword of Ruin,50,Ghost,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Ice Spinner,Sucker Punch,Taunt,Protect
Zamazenta,Rusted Shield,Genderless,Dauntless Shield,50,Dragon,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Body Press,Heavy Slam,Wide Guard,Protect
Calyrex-Shadow,Life Orb,Genderless,As One,50,Dark,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Astral Barrage,Psychic,Pollen Puff,Protect
Calyrex-Ice,Leftovers,Genderless,As One,50,Fairy,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Protect,Leech Seed,Trick Room,Glacial Lance
Kyogre,Mystic Water,Genderless,Drizzle,50,Grass,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Water Spout,Origin Pulse,Hydro Pump,Protect
Flutter Mane,Focus Sash,Genderless,Protosynthesis,50,Fairy,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Moonblast,Shadow Ball,Taunt,Icy Wind
Amoonguss,Rocky Helmet,Female,Regenerator,50,Water,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Spore,Rage Powder,Pollen Puff,Protect
Urshifu-Rapid-Strike,Choice Scarf,Female,Unseen Fist,50,Ghost,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Close Combat,Surging Strikes,Aqua Jet,U-turn
Rillaboom,Assault Vest,Male,Grassy Surge,50,Water,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Wood Hammer,Grassy Glide,Fake Out,U-turn
Calyrex-Shadow,Focus Sash,Genderless,As One,50,Ghost,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Astral Barrage,Psychic,Encore,Protect
Dragonite,Choice Band,Female,Inner Focus,50,Normal,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Extreme Speed,Low Kick,Aqua Jet,Outrage
Zamazenta,Rusted Shield,Genderless,Dauntless Shield,50,Dragon,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Body Press,Heavy Slam,Wide Guard,Protect
Amoonguss,Rocky Helmet,Female,Regenerator,50,Water,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Spore,Sludge Bomb,Rage Powder,Protect
Raging Bolt,Booster Energy,Genderless,Protosynthesis,50,Electric,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Thunderbolt,Thunderclap,Dragon Pulse,Protect
Chien-Pao,Assault Vest,Genderless,Sword of Ruin,50,Poison,Blank,0,0,0,0,0,0,31,31,31,31,31,31,Ice Spinner,Sucker Punch,Ruination,Icy Wind
Groudon,Assault Vest,Genderless,Drought,70,Fire,Adamant,172,156,4,0,60,116,31,31,31,31,31,31,Precipice Blades,High Horsepower,Heat Crash,Stone Edge
Chi-Yu,Choice Scarf,Genderless,Beads of Ruin,60,Ghost,Modest,52,0,4,196,4,252,31,0,31,31,31,31,Heat Wave,Overheat,Snarl,Dark Pulse
Flutter Mane,Focus Sash,Genderless,Protosynthesis,50,Normal,Timid,4,0,0,252,0,252,31,1,31,31,31,31,Moonblast,Shadow Ball,Icy Wind,Protect
Raging Bolt,Life Orb,Genderless,Protosynthesis,75,Electric,Modest,20,0,4,252,4,228,31,20,31,31,31,31,Thunderbolt,Thunderclap,Draco Meteor,Protect
Calyrex-Ice,Sitrus Berry,Genderless,As One,50,Water,Impish,244,4,76,0,116,68,31,31,31,31,31,31,Glacial Lance,Leech Seed,Trick Room,Imprison
Jumpluff,Covert Cloak,Male,Chlorophyll,50,Dark,Timid,196,0,0,0,204,108,31,0,31,31,31,31,Tailwind,Sleep Powder,Encore,Pollen Puff
Calyrex-Shadow,Life Orb,Genderless,As One (Spectrier),50,Normal,Timid,108,0,12,196,28,0,31,31,31,31,31,31,Protect,Nasty Plot,Psychic,Astral Barrage
Flutter Mane,Focus Sash,Genderless,Protosynthesis,50,Fairy,Timid,0,0,4,252,0,0,31,31,31,31,31,31,Protect,Taunt,Icy Wind,Moonblast
Koraidon,Clear Amulet,Genderless,Orichalcum Pulse,50,Fire,Adamant,252,108,12,0,60,0,31,31,31,31,31,31,Protect,Flame Charge,Flare Blitz,Collision Course
Clefairy,Eviolite,Female,Friend Guard,50,Grass,Bold,244,0,196,0,0,0,31,0,31,31,31,31,Protect,Follow Me,Helping Hand,Life Dew
Incineroar,Assault Vest,Female,Intimidate,50,Water,Brave,244,0,172,0,0,0,31,31,31,4,31,31,Flare Blitz,Knock Off,U-turn,Fake Out
Ting-Lu,Leftovers,Genderless,Vessel of Ruin,50,Fairy,Impish,204,0,132,0,0,0,31,31,31,31,31,31,Protect,Throat Chop,Ruination,Sand Tomb
Calyrex-Shadow,Choice Specs,Genderless,As One (Spectrier),50,Ghost,Modest,52,0,4,252,44,156,31,0,31,31,31,31,Astral Barrage,Psychic,Pollen Puff,Shadow Ball
Zamazenta-Crowned,Rusted Shield,Male,Dauntless Shield,50,Dark,Jolly,132,4,188,0,4,180,31,31,31,31,31,31,Body Press,Heavy Slam,Wide Guard,Imprison
Maushold,Focus Sash,Genderless,Friend Guard,50,Ghost,Impish,188,0,252,0,0,68,31,31,31,31,31,31,Feint,Follow Me,Helping Hand,Taunt
Whimsicott,Covert Cloak,Female,Prankster,50,Dark,Timid,252,0,28,4,84,140,31,0,31,31,31,31,Moonblast,Tailwind,Taunt,Encore
Ursaluna-Bloodmoon,Life Orb,Male,Mind's Eye,50,Normal,Timid,0,0,0,252,4,252,31,0,31,31,31,31,Hyper Voice,Earth Power,Blood Moon,Protect
Roaring Moon,Booster Energy,Genderless,Protosynthesis,50,Fire,Jolly,84,36,124,0,12,252,31,31,31,31,31,31,Knock Off,Breaking Swipe,Tailwind,Protect
Calyrex-Shadow,Life Orb,Genderless,As One (Spectrier),50,Dark,Timid,108,0,4,140,4,252,31,0,31,31,31,31,Astral Barrage,Psychic,Nasty Plot,Protect
Zamazenta-Crowned,Rusted Shield,Male,Dauntless Shield,50,Dragon,Impish,236,4,156,0,92,20,31,31,31,31,31,31,Body Press,Heavy Slam,Wide Guard,Protect
Rillaboom,Assault Vest,Male,Grassy Surge,50,Water,Adamant,252,36,60,0,124,36,31,31,31,31,31,31,Fake Out,Wood Hammer,Grassy Glide,U-turn
Raging Bolt,Booster Energy,Genderless,Protosynthesis,50,Electric,Modest,188,0,0,212,0,108,31,20,31,31,31,31,Thunderbolt,Dragon Pulse,Thunderclap,Protect
Ogerpon-Hearthflame,Hearthflame Mask,Female,Mold Breaker,50,Fire,Adamant,236,12,148,0,92,20,31,31,31,31,31,31,Ivy Cudgel,Spiky Shield,Follow Me,Helping Hand
Smeargle,Focus Sash,Male,Moody,50,Ghost,Jolly,100,4,108,0,44,252,31,31,31,31,31,31,Fake Out,Spore,Follow Me,Spiky Shield
Chien-Pao,Focus Sash,Genderless,Sword of Ruin,50,Stellar,Adamant,0,252,4,0,0,252,31,31,31,26,31,31,Icicle Crash,Sucker Punch,Sacred Sword,Protect
Zacian-Crowned,Rusted Sword,Male,Intrepid Sword,50,Fairy,Jolly,108,220,4,0,4,172,31,31,31,31,31,31,Iron Head,Play Rough,Swords Dance,Protect
Kyogre,Splash Plate,Genderless,Drizzle,50,Grass,Modest,172,0,28,156,12,140,31,0,31,31,31,31,Water Spout,Origin Pulse,Hydro Pump,Protect
Urshifu-Rapid-Strike,Mystic Water,Male,Unseen Fist,50,Water,Adamant,116,140,4,0,68,180,31,31,31,31,31,31,Surging Strikes,Aqua Jet,Taunt,Detect
Roaring Moon,Booster Energy,Genderless,Protosynthesis,50,Flying,Jolly,132,108,4,0,12,252,31,31,31,31,31,31,Acrobatics,Knock Off,Tailwind,Protect
Amoonguss,Rocky Helmet,Male,Regenerator,50,Water,Bold,236,0,220,0,52,0,31,0,31,31,31,25,Pollen Puff,Spore,Rage Powder,Protect
Calyrex-Ice,Clear Amulet,Genderless,As One,50,Fire,Brave,252,196,0,0,60,0,31,31,31,31,31,1,Glacial Lance,High Horsepower,Trick Room,Protect
Lunala,Power Herb,Genderless,Shadow Shield,50,Grass,Modest,220,0,0,196,0,92,31,1,31,31,31,31,Expanding Force,Trick Room,Moongeist Beam,Meteor Beam
Smeargle,Focus Sash,Male,Technician,50,Grass,Jolly,68,0,188,0,0,252,31,31,31,31,31,31,Follow Me,Fake Out,Decorate,Spore
Urshifu,Choice Band,Male,Unseen Fist,50,Grass,Brave,252,252,4,0,0,0,31,31,31,31,31,0,Wicked Blow,Sucker Punch,Close Combat,U-turn
Torkoal,Choice Specs,Male,Drought,50,Fire,Quiet,252,0,4,252,0,0,31,0,31,31,31,0,Eruption,Weather Ball,Solar Beam,Earth Power
Indeedee-F,Safety Goggles,Female,Psychic Surge,50,Fairy,Relaxed,252,0,252,0,4,0,31,0,31,31,31,0,Alluring Voice,Trick Room,Follow Me,Helping Hand
Terapagos-Stellar,Power Herb,Male,Teraform Zero,50,Stellar,Modest,12,0,100,236,4,156,31,15,31,31,31,31,Earth Power,Tera Starstorm,Meteor Beam,Protect
Calyrex-Shadow,Life Orb,Genderless,As One (Spectrier),50,Dark,Timid,188,0,0,156,0,164,31,31,31,31,31,31,Psychic,Astral Barrage,Nasty Plot,Protect
