name,item,ability,nature,evs.ev_hp,evs.ev_attack,evs.ev_defense,evs.ev_special_attack,evs.ev_special_defense,evs.ev_speed,ivs.iv_hp,ivs.iv_attack,ivs.iv_defense,ivs.iv_special_attack,ivs.iv_special_defense,ivs.iv_speed,moves.move_1,moves.move_2,moves.move_3,moves.move_4
Miraidon,3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
Incineroar,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,0,10,10
Calyrex-Ice,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,8,10,1,9
Ditto,3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,7,2,2,2
Annihilape,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,11,0
Grimmsnarl,2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,2,2,4
Calyrex-Shadow,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,0,8
Zamazenta-Crowned,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,8
Raging Bolt,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
Rillaboom,3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Tornadus,2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,11,2,1,8
Smeargle,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,4,0,3,10
Calyrex-Ice,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,1,9,8
Kyogre,2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
Basculegion,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
Rillaboom,3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Iron Jugulis,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,1,2
Smeargle,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,3,4,10,0
Miraidon,2,1,3,124,0,4,124,4,252,31,31,31,31,31,31,11,11,11,11
Amoonguss,3,8,4,236,0,188,0,84,0,31,0,31,31,31,27,4,3,11,8
Zamazenta-Crowned,2,2,2,204,4,244,0,44,12,31,31,31,31,31,31,10,10,2,8
Volcarona,2,4,5,252,0,44,68,4,140,31,31,31,31,31,31,11,11,0,8
Incineroar,3,2,5,228,0,0,0,44,236,31,31,31,31,31,31,10,10,10,10
Chien-Pao,3,2,5,4,252,0,0,0,252,31,31,31,31,31,31,10,10,11,8
Miraidon,2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
Calyrex-Ice,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,9,8
Incineroar,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Urshifu-Rapid-Strike,3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,2
Amoonguss,3,8,6,0,0,0,0,0,0,31,31,31,31,31,31,11,4,3,8
Landorus,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,2,8
Miraidon,2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
Lunala,2,4,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,2,9
Urshifu-Rapid-Strike,2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Incineroar,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Ursaluna,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
Whimsicott,3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,11,1,2,3
Calyrex-Shadow,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,3,8
Zamazenta-Crowned,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,8
Chien-Pao,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,10,11,2
Dragonite,2,0,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Ting-Lu,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
Ogerpon-Cornerstone,2,4,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,3,2
Urshifu-Rapid-Strike,3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,2
Miraidon,2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
Incineroar,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Calyrex-Ice,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,1,9,8
Volcarona,2,4,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,0,8
Amoonguss,3,8,6,0,0,0,0,0,0,31,31,31,31,31,31,4,3,11,8
Calyrex-Shadow,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,8,0,11,11
Flutter Mane,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,8,2,11,11
Koraidon,3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,8,10,10,10
Incineroar,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Clefairy,3,6,6,0,0,0,0,0,0,31,31,31,31,31,31,8,3,3,5
Raging Bolt,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,8,11,11,11
Chien-Pao,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,11,10
Calyrex-Shadow,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,3,8
Ogerpon-Cornerstone,2,4,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,3
Zamazenta-Crowned,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,8
Amoonguss,3,8,6,0,0,0,0,0,0,31,31,31,31,31,31,4,3,8,11
Chi-Yu,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
Calyrex-Ice,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,1,9,8
Flutter Mane,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
Koraidon,2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
Rillaboom,3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Smeargle,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,3,4,0
Chi-Yu,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
Terapagos-Terastal,2,4,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,0,8
Calyrex-Ice,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,9,8
Incineroar,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,4,10,10,0
Amoonguss,3,8,6,0,0,0,0,0,0,31,31,31,31,31,31,11,4,3,8
Raging Bolt,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
Urshifu-Rapid-Strike,3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,2
Miraidon,2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
Lunala,2,4,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,2,9
Whimsicott,3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,11,1,3,2
Incineroar,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Urshifu-Rapid-Strike,2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Ursaluna,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
Calyrex-Shadow,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,0,11,8
Zamazenta-Crowned,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,8
Ogerpon-Hearthflame,2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,3
Rillaboom,3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Incineroar,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,0,3
Urshifu-Rapid-Strike,2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Koraidon,3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
Ogerpon-Hearthflame,2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,3
Calyrex-Shadow,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
Whimsicott,3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,1,11,2,3
Indeedee-F,3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,3,11,3,9
Raging Bolt,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
Kyogre,2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
Calyrex-Shadow,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
Weezing-Galar,1,5,6,0,0,0,0,0,0,31,31,31,31,31,31,11,4,1,8
Dondozo,2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
Tatsugiri-Droopy,3,6,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
Roaring Moon,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,1,8
Calyrex-Ice,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,9,8
Miraidon,2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
Urshifu-Rapid-Strike,3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,2
Farigiraf,2,0,6,0,0,0,0,0,0,31,31,31,31,31,31,11,10,9,3
Incineroar,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Iron Valiant,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,0,2,3
Miraidon,2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
Calyrex-Ice,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,9,8
Incineroar,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Amoonguss,3,8,6,0,0,0,0,0,0,31,31,31,31,31,31,11,4,3,8
Landorus,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,2,8
Urshifu-Rapid-Strike,3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,2
Iron Hands,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Terapagos,2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
Smeargle,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,0,4,3
Calyrex-Shadow,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,0,8
Whimsicott,3,3,6,0,0,0,0,0,0,31,31,31,31,31,31,11,1,1,3
Chi-Yu,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
Kyogre,2,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,8
Rillaboom,3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Amoonguss,3,8,6,0,0,0,0,0,0,31,31,31,31,31,31,4,3,11,8
Calyrex-Ice,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,9,8
Urshifu-Rapid-Strike,2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,0,10
Farigiraf,2,0,6,0,0,0,0,0,0,31,31,31,31,31,31,10,6,3,9
Clefairy,3,6,2,252,0,172,0,84,0,31,0,31,31,31,0,3,3,5,8
Incineroar,3,2,4,236,4,84,0,132,52,31,31,31,31,31,31,10,0,10,6
Rillaboom,3,1,1,252,44,4,0,92,116,31,31,31,31,31,31,10,10,10,10
Calyrex-Shadow,3,2,3,188,0,132,36,4,148,31,0,31,31,31,31,11,11,0,8
Miraidon,2,1,3,44,0,4,252,12,196,31,31,31,31,31,31,11,11,11,11
Volcarona,2,4,5,252,0,100,20,4,132,31,0,31,31,31,31,11,0,11,8
Miraidon,3,1,3,164,0,20,212,4,108,31,31,31,31,31,31,11,11,11,8
Ho-Oh,3,8,1,204,156,100,0,12,36,31,31,31,31,31,31,10,10,1,8
Urshifu-Rapid-Strike,2,3,1,4,236,0,0,12,252,31,31,31,31,31,31,10,10,10,10
Chien-Pao,3,2,1,0,252,4,0,0,252,31,31,31,31,31,31,10,10,10,8
Clefairy,3,6,2,252,0,180,0,76,0,31,0,31,31,31,0,3,3,3,8
Iron Treads,2,2,5,0,252,0,0,4,252,31,31,31,31,31,31,8,10,10,10
Calyrex-Shadow,3,2,5,0,0,4,252,0,252,31,0,31,31,31,31,11,11,3,8
Zamazenta-Crowned,2,2,2,220,0,156,0,0,132,31,31,31,31,31,31,10,10,2,8
Chien-Pao,3,2,5,252,4,36,0,84,132,31,31,31,31,31,31,10,11,10,10
Chi-Yu,2,2,3,4,0,0,252,0,252,31,0,31,31,31,31,11,11,11,11
Ogerpon-Cornerstone,2,4,5,0,252,4,0,0,252,31,31,31,31,31,31,10,10,3,2
Amoonguss,3,8,2,236,0,236,0,36,0,31,0,31,31,31,0,11,4,3,8
Ogerpon-Hearthflame,2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,3,2
Rillaboom,3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Incineroar,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,0,10,3
Smeargle,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,4,10,3,2
Calyrex-Shadow,2,2,6,0,0,0,0,0,0,31,0,31,31,31,31,8,11,0,11
Zamazenta-Crowned,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,2,8
Miraidon,3,1,6,0,0,0,0,0,0,31,31,31,31,31,31,11,11,11,11
Lunala,2,4,6,0,0,0,0,0,0,31,0,31,31,31,31,11,11,9,2
Ursaluna,2,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,3,8
Incineroar,3,2,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,8
Urshifu-Rapid-Strike,2,3,6,0,0,0,0,0,0,31,31,31,31,31,31,10,10,10,10
Whimsicott,3,3,6,0,0,0,0,0,0,31,0,31,31,31,31,11,2,3,1
Sneasler,2,2,1,92,236,36,0,4,140,31,31,31,31,31,31,10,10,10,1
Miraidon,3,1,3,252,0,4,236,4,12,31,31,31,31,31,31,11,11,11,11
Zacian,2,2,5,180,156,4,0,4,164,31,31,31,31,31,31,8,10,10,0
Chien-Pao,3,2,5,0,252,4,0,0,252,31,31,31,31,31,31,8,10,11,10
Gothitelle,2,5,2,252,0,196,4,52,4,31,31,31,31,31,31,8,10,11,2
Scream Tail,2,2,5,252,0,88,0,68,100,31,0,31,31,31,31,8,3,4,0
Calyrex-Shadow,2,2,5,132,0,84,148,4,140,31,0,31,31,31,31,11,11,0,8
Miraidon,2,1,3,252,0,116,20,4,108,31,31,31,31,31,31,11,11,11,11
Chi-Yu,2,2,5,4,0,0,252,0,252,31,0,31,31,31,31,11,11,11,11
Incineroar,3,2,2,252,0,180,0,76,0,31,31,31,31,31,31,10,4,0,10
Whimsicott,3,3,5,252,0,12,4,212,28,31,0,31,31,31,31,11,1,3,3
Iron Hands,3,2,1,172,196,4,0,132,0,31,31,31,31,31,31,10,10,10,10
Calyrex-Ice,3,2,1,252,164,4,0,84,4,31,31,31,31,31,31,10,10,8,9
Koraidon,2,1,1,0,252,0,0,4,252,31,31,31,31,31,31,10,10,10,8
Jumpluff,3,2,5,252,0,0,0,4,252,31,0,31,31,31,31,4,1,3,3
Chi-Yu,2,2,3,0,0,0,252,4,252,31,0,31,31,31,31,11,11,11,11
Flutter Mane,3,2,5,0,0,4,252,0,252,31,0,31,31,31,31,11,11,11,8
Iron Hands,3,2,1,84,172,0,0,252,0,31,31,31,31,31,0,10,10,10,10
Eternatus,2,4,3,4,0,0,252,0,252,31,0,31,31,31,31,11,11,8,11
Calyrex-Shadow,3,2,5,28,0,84,140,4,252,31,0,31,31,31,31,11,11,8,0
Clefairy,3,6,2,244,0,180,0,84,0,31,0,31,31,31,28,3,8,3,5
Chi-Yu,2,2,3,132,0,4,116,4,252,31,0,31,31,31,31,11,11,11,11
Mienshao,3,0,5,4,252,0,0,0,252,31,31,31,31,31,31,10,10,2,10
Weezing-Galar,3,5,2,252,4,12,0,180,60,31,31,31,31,31,31,10,4,8,2
Miraidon,3,1,3,236,0,4,252,4,12,31,31,31,31,31,31,11,11,11,8
Rayquaza,3,1,1,0,252,0,12,0,244,31,31,31,31,31,31,10,10,11,8
Ting-Lu,2,2,1,76,236,0,0,0,196,31,31,31,31,31,31,10,10,10,11
Volcarona,2,4,2,252,0,204,0,52,0,31,0,31,31,31,31,11,3,1,8
Murkrow,3,3,2,252,4,220,0,28,4,31,31,31,31,31,31,10,1,2,7
Urshifu-Rapid-Strike,2,3,1,76,236,4,0,28,164,31,31,31,31,31,31,10,10,10,2
Miraidon,2,1,3,140,0,4,196,4,164,31,31,31,31,31,31,11,11,11,11
Zamazenta-Crowned,2,2,2,164,4,236,0,4,100,31,31,31,31,31,31,8,10,10,2
Chien-Pao,3,2,1,76,156,84,0,4,188,31,31,31,31,31,31,8,11,10,10
Dragonite,2,0,1,148,252,0,0,0,108,31,31,31,31,31,31,8,10,10,10
Whimsicott,3,3,5,0,0,220,0,68,220,31,0,31,31,31,31,10,1,3,0
Incineroar,3,2,1,228,132,36,0,84,28,31,31,31,31,31,31,10,10,10,10
Miraidon,2,1,3,108,0,0,196,0,204,31,31,31,31,31,31,11,11,11,11
Zamazenta-Crowned,2,2,2,204,4,252,0,4,44,31,31,31,31,31,31,10,10,2,8
Chien-Pao,3,2,5,0,252,4,0,0,252,31,31,31,31,31,31,10,10,11,8
Ogerpon-Cornerstone,2,4,5,0,252,4,0,0,252,31,31,31,31,31,31,10,3,3,2
Whimsicott,3,3,2,252,0,116,4,132,4,31,0,31,31,31,31,11,3,1,2
Incineroar,3,2,1,244,196,4,0,4,60,31,31,31,31,31,31,10,10,10,10
Whimsicott,3,3,4,212,0,12,4,252,28,31,0,31,31,31,31,0,11,1,2
Miraidon,2,1,3,12,0,4,220,20,252,31,31,31,31,31,31,11,11,11,11
Raging Bolt,2,2,3,116,0,4,252,4,132,31,20,31,31,31,31,11,11,11,8
Chi-Yu,2,2,3,0,0,0,252,4,252,31,0,31,31,31,31,11,11,11,11
Koraidon,2,1,5,0,252,0,0,4,252,31,31,31,31,31,31,10,10,10,8
Flutter Mane,3,2,5,0,0,0,252,4,252,31,0,31,31,31,31,11,11,9,2
Miraidon,2,1,3,52,0,4,196,4,252,31,31,31,31,31,31,11,11,11,11
Zamazenta-Crowned,2,2,2,204,4,156,0,68,76,31,31,31,31,31,31,10,10,2,8
Chien-Pao,3,2,5,0,252,4,0,0,252,31,31,31,31,31,31,10,10,11,8
Volcarona,2,4,5,244,0,116,4,4,140,31,0,31,31,31,31,11,11,0,8
Incineroar,3,2,4,236,0,0,0,20,252,31,31,31,31,31,31,10,10,10,10
Amoonguss,3,8,2,236,0,188,0,84,0,31,0,31,31,31,26,4,11,3,8
Latios,3,0,5,4,0,0,252,0,252,31,0,31,31,31,31,11,11,1,3
Rillaboom,3,1,1,252,244,0,0,0,12,31,31,31,31,31,31,10,10,10,10
Urshifu-Rapid-Strike,2,3,5,0,252,0,0,4,252,31,31,31,31,31,31,10,10,10,10
Zamazenta-Crowned,2,2,2,204,0,236,0,0,68,31,31,31,31,31,31,10,10,0,8
Lunala,2,4,3,4,0,0,252,0,252,31,0,31,31,31,31,11,11,11,2
Torkoal,2,1,3,252,0,0,252,4,0,31,0,31,31,31,0,11,11,3,8
Koraidon,3,1,1,252,212,0,0,44,0,31,31,31,31,31,31,10,10,10,10
