name,item,ability,nature,evs.ev_hp,evs.ev_attack,evs.ev_defense,evs.ev_special_attack,evs.ev_special_defense,evs.ev_speed,ivs.iv_hp,ivs.iv_attack,ivs.iv_defense,ivs.iv_special_attack,ivs.iv_special_defense,ivs.iv_speed,moves.move_1,moves.move_2,moves.move_3,moves.move_4
Scream Tail,2,2,1,4,252,0,0,0,252,31,31,31,31,31,31,Protect,Dazzling Gleam,Encore,Disable
Ogerpon-Wellspring,2,0,3,116,0,156,156,76,4,31,0,31,31,31,31,Spiky Shield,Ivy Cudgel,Horn Leech,Follow Me
Incineroar,3,2,5,108,0,52,212,4,132,31,31,31,31,31,31,Flare Blitz,Fake Out,U-turn,Knock Off
Miraidon,2,1,1,252,36,4,0,180,36,31,31,31,31,31,31,Volt Switch,Draco Meteor,Electro Drift,Snarl
Iron Treads,2,2,1,252,116,36,0,28,76,31,31,31,31,31,31,High Horsepower,Steel Roller,Protect,Iron Head
Calyrex-Ice,2,2,3,220,0,4,252,4,28,31,0,31,31,31,31,Glacial Lance,Leech Seed,Trick Room,Protect
Amoonguss,3,8,1,4,252,0,0,0,252,31,31,31,31,31,31,Spore,Pollen Puff,Rage Powder,Protect
Urshifu,3,3,3,116,0,156,156,76,4,31,0,31,31,31,31,Wicked Blow,Close Combat,Sucker Punch,Protect
Incineroar,3,2,2,252,4,116,212,52,84,31,31,31,31,31,31,Knock Off,Will-O-Wisp,Parting Shot,Fake Out
Rillaboom,3,1,1,252,4,76,0,172,4,31,31,31,31,31,31,Wood Hammer,Grassy Glide,U-turn,Fake Out
Miraidon,2,1,3,132,116,28,124,4,220,31,31,31,31,31,31,Electro Drift,Draco Meteor,Volt Switch,Snarl
Grimmsnarl,2,3,4,228,4,156,252,116,4,31,0,31,31,31,31,Reflect,Spirit Break,Light Screen,Thunder Wave
Ogerpon-Wellspring,2,0,1,252,12,100,0,68,76,31,31,31,31,31,31,Ivy Cudgel,Taunt,Spiky Shield,Follow Me
Lunala,0,4,3,92,0,204,108,4,100,31,0,31,31,31,31,Moongeist Beam,Moonblast,Calm Mind,Protect
Sneasler,2,2,2,252,4,116,212,52,84,31,31,31,31,31,31,Fake Out,Close Combat,Dire Claw,Acid Spray
Incineroar,3,2,1,252,4,76,0,172,4,31,31,31,31,31,31,Fake Out,Parting Shot,Knock Off,Taunt
Ditto,3,3,3,132,116,28,124,4,220,31,31,31,31,31,31,Transform,Draco Meteor,Volt Switch,Snarl
Calyrex-Ice,0,2,4,228,4,156,252,116,4,31,0,31,31,31,31,Protect,Glacial Lance,Leech Seed,Trick Room
Grimmsnarl,2,3,1,252,12,100,0,68,76,31,31,31,31,31,31,Spirit Break,Reflect,Light Screen,Thunder Wave
Miraidon,3,1,3,92,0,204,108,4,100,31,0,31,31,31,31,Electro Drift,Volt Switch,Draco Meteor,Snarl
Incineroar,3,2,2,252,4,116,212,52,84,31,31,31,31,31,31,Flare Blitz,Knock Off,Fake Out,U-turn
Miraidon,2,1,1,252,4,76,0,172,4,31,31,31,31,31,31,Electro Drift,Draco Meteor,Dazzling Gleam,Volt Switch
Urshifu-Rapid-Strike,2,3,3,132,116,28,124,4,220,31,31,31,31,31,31,Close Combat,Surging Strikes,U-turn,Aqua Jet
Ursaluna,2,2,4,228,4,156,252,116,4,31,0,31,31,31,31,Facade,Headlong Rush,Earthquake,Protect
Whimsicott,3,3,1,252,12,100,0,68,76,31,31,31,31,31,31,Moonblast,Encore,Light Screen,Tailwind
Lunala,2,4,3,92,0,204,108,4,100,31,0,31,31,31,31,Moongeist Beam,Moonblast,Wide Guard,Trick Room
Iron Treads,2,2,2,252,4,116,212,52,84,31,31,31,31,31,31,Steel Roller,High Horsepower,Knock Off,Iron Head
Terapagos,2,3,1,252,4,76,0,172,4,31,31,31,31,31,31,Tera Starstorm,Earth Power,Calm Mind,Protect
Sinistcha,3,8,3,132,116,28,124,4,220,31,31,31,31,31,31,Rage Powder,Shadow Ball,Protect,Strength Sap
Miraidon,2,1,4,228,4,156,252,116,4,31,0,31,31,31,31,Electro Drift,Draco Meteor,Volt Switch,Snarl
Ogerpon-Wellspring,2,0,1,252,12,100,0,68,76,31,31,31,31,31,31,Ivy Cudgel,Spiky Shield,Taunt,Follow Me
Incineroar,3,2,3,92,0,204,108,4,100,31,0,31,31,31,31,Fake Out,Will-O-Wisp,Knock Off,Parting Shot
Calyrex-Shadow,2,2,2,252,4,116,212,52,84,31,31,31,31,31,31,Astral Barrage,Psychic,Nasty Plot,Protect
Zamazenta,2,2,1,252,4,76,0,172,4,31,31,31,31,31,31,Body Press,Heavy Slam,Wide Guard,Protect
Rillaboom,3,1,3,132,116,28,124,4,220,31,31,31,31,31,31,Wood Hammer,Grassy Glide,U-turn,Fake Out
Raging Bolt,2,2,4,228,4,156,252,116,4,31,0,31,31,31,31,Thunderbolt,Dragon Pulse,Thunderclap,Protect
Smeargle,3,2,1,252,12,100,0,68,76,31,31,31,31,31,31,Spore,Follow Me,Wide Guard,Fake Out
Incineroar,3,2,3,92,0,204,108,4,100,31,0,31,31,31,31,Knock Off,Helping Hand,Parting Shot,Fake Out
Calyrex-Shadow,2,2,2,252,4,116,212,52,84,31,31,31,31,31,31,Astral Barrage,Psychic,Substitute,Protect
Zamazenta-Crowned,2,2,1,252,4,76,0,172,4,31,31,31,31,31,31,Body Press,Heavy Slam,Wide Guard,Protect
Chien-Pao,3,2,3,132,116,28,124,4,220,31,31,31,31,31,31,Ice Spinner,Sucker Punch,Taunt,Protect
Raging Bolt,2,2,4,228,4,156,252,116,4,31,0,31,31,31,31,Thunderbolt,Thunderclap,Dragon Pulse,Protect
Whimsicott,3,3,1,252,12,100,0,68,76,31,31,31,31,31,31,Moonblast,Encore,Fake Tears,Tailwind
Ogerpon-Hearthflame,2,3,3,92,0,204,108,4,100,31,0,31,31,31,31,Wood Hammer,Ivy Cudgel,Follow Me,Spiky Shield
Calyrex-Ice,0,2,2,252,4,116,212,52,84,31,31,31,31,31,31,Glacial Lance,Leech Seed,Trick Room,Protect
Landorus,2,2,1,252,4,76,0,172,4,31,31,31,31,31,31,Earth Power,Sandsear Storm,Sludge Bomb,Crunch
Incineroar,3,2,3,132,116,28,124,4,220,31,31,31,31,31,31,Knock Off,Taunt,Parting Shot,Fake Out
Amoonguss,3,8,4,228,4,156,252,116,4,31,0,31,31,31,31,Pollen Puff,Spore,Rage Powder,Protect
Urshifu,3,3,1,252,12,100,0,68,76,31,31,31,31,31,31,Wicked Blow,Close Combat,Sucker Punch,Detect
Miraidon,3,1,3,92,0,204,108,4,100,31,0,31,31,31,31,Electro Drift,Draco Meteor,Snarl,Volt Switch
Volcarona,3,4,2,252,4,116,212,52,84,31,31,31,31,31,31,Fiery Dance,Rage Powder,Will-O-Wisp,Protect
Urshifu-Rapid-Strike,3,3,1,252,4,76,0,172,4,31,31,31,31,31,31,Surging Strikes,Close Combat,Taunt,Protect
Calyrex-Ice,3,2,3,132,116,28,124,4,220,31,31,31,31,31,31,Glacial Lance,High Horsepower,Trick Room,Protect
Iron Hands,3,2,4,228,4,156,252,116,4,31,0,31,31,31,31,Drain Punch,Fake Out,Wild Charge,Low Kick
Miraidon,2,1,1,252,12,100,0,68,76,31,31,31,31,31,31,Electro Drift,Draco Meteor,Volt Switch,Snarl
Farigiraf,2,0,3,92,0,204,108,4,100,31,0,31,31,31,31,Psychic,Foul Play,Trick Room,Helping Hand
Calyrex-Shadow,2,2,2,252,4,116,212,52,84,31,31,31,31,31,31,Astral Barrage,Psychic,Nasty Plot,Protect
Ogerpon-Hearthflame,2,3,1,252,4,76,0,172,4,31,31,31,31,31,31,Ivy Cudgel,Grassy Glide,Follow Me,Spiky Shield
Incineroar,3,2,3,132,116,28,124,4,220,31,31,31,31,31,31,Parting Shot,Knock Off,Helping Hand,Fake Out
Rillaboom,3,1,4,228,4,156,252,116,4,31,0,31,31,31,31,Wood Hammer,Grassy Glide,U-turn,Fake Out
Raging Bolt,2,2,1,252,12,100,0,68,76,31,31,31,31,31,31,Thunderbolt,Dragon Pulse,Thunderclap,Protect
Zamazenta,2,2,3,92,0,204,108,4,100,31,0,31,31,31,31,Body Press,Heavy Slam,Protect,Wide Guard
Volcarona,0,4,2,252,4,116,212,52,84,31,31,31,31,31,31,Flamethrower,Quiver Dance,Protect,Struggle Bug
Chien-Pao,3,2,1,252,4,76,0,172,4,31,31,31,31,31,31,Icicle Crash,Sucker Punch,Crunch,Protect
Zamazenta,2,2,3,132,116,28,124,4,220,31,31,31,31,31,31,Heavy Slam,Body Press,Protect,Wide Guard
Grimmsnarl,2,3,4,228,4,156,252,116,4,31,0,31,31,31,31,Reflect,Spirit Break,Light Screen,Thunder Wave
Miraidon,2,1,1,252,12,100,0,68,76,31,31,31,31,31,31,Dazzling Gleam,Volt Switch,Draco Meteor,Electro Drift
Iron Hands,3,2,3,92,0,204,108,4,100,31,0,31,31,31,31,Wild Charge,Drain Punch,Low Kick,Fake Out
Brute Bonnet,1,2,2,252,4,116,212,52,84,31,31,31,31,31,31,Seed Bomb,Sucker Punch,Spore,Rage Powder
Lunala,2,4,1,252,4,76,0,172,4,31,31,31,31,31,31,Moongeist Beam,Meteor Beam,Wide Guard,Trick Room
Ursaluna,2,2,3,132,116,28,124,4,220,31,31,31,31,31,31,Headlong Rush,Facade,Earthquake,Protect
Chi-Yu,2,2,4,228,4,156,252,116,4,31,0,31,31,31,31,Dark Pulse,Heat Wave,Overheat,Snarl
Koraidon,2,1,1,252,12,100,0,68,76,31,31,31,31,31,31,Close Combat,Flare Blitz,Flame Charge,Protect
Flutter Mane,3,2,3,92,0,204,108,4,100,31,0,31,31,31,31,Shadow Ball,Moonblast,Icy Wind,Protect
Kyogre,2,1,2,252,4,116,212,52,84,31,31,31,31,31,31,Origin Pulse,Protect,Hydro Pump,Water Spout
Basculegion,2,2,1,252,4,76,0,172,4,31,31,31,31,31,31,Wave Crash,Last Respects,Protect,Aqua Jet
Flutter Mane,3,2,3,132,116,28,124,4,220,31,31,31,31,31,31,Moonblast,Icy Wind,Shadow Ball,Taunt
Amoonguss,3,8,4,228,4,156,252,116,4,31,0,31,31,31,31,Rage Powder,Pollen Puff,Spore,Protect
Calyrex-Ice,0,2,1,252,12,100,0,68,76,31,31,31,31,31,31,Glacial Lance,Trick Room,Leech Seed,Protect
Iron Jugulis,2,2,3,92,0,204,108,4,100,31,0,31,31,31,31,Tailwind,Snarl,Protect,Hurricane
Incineroar,3,2,2,252,4,116,212,52,84,31,31,31,31,31,31,Knock Off,Taunt,Fake Out,Parting Shot
Sneasler,2,2,1,252,4,76,0,172,4,31,31,31,31,31,31,Fake Out,Close Combat,Dire Claw,Acid Spray
Calyrex-Ice,0,2,3,132,116,28,124,4,220,31,31,31,31,31,31,Protect,Glacial Lance,Leech Seed,Trick Room
Ditto,3,3,4,228,4,156,252,116,4,31,0,31,31,31,31,Transform,Pollen Puff,Spore,Protect
Grimmsnarl,2,3,1,252,12,100,0,68,76,31,31,31,31,31,31,Spirit Break,Reflect,Light Screen,Thunder Wave
Miraidon,3,1,3,92,0,204,108,4,100,31,0,31,31,31,31,Electro Drift,Volt Switch,Draco Meteor,Snarl
Miraidon,2,1,3,212,4,4,140,4,148,31,31,31,31,31,31,Dazzling Gleam,Draco Meteor,Electro Drift,Volt Switch
Zamazenta-Crowned,2,2,2,236,4,204,0,20,44,31,31,31,31,31,31,Body Press,Heavy Slam,Wide Guard,Protect
Chien-Pao,3,2,1,132,252,4,124,4,252,31,31,31,31,31,31,Icicle Crash,Crunch,Sucker Punch,Protect
Iron Hands,3,2,1,100,204,60,252,92,52,31,0,31,31,31,31,Wild Charge,Low Kick,Ice Punch,Fake Out
Farigiraf,2,0,2,228,12,236,0,44,76,31,0,31,31,31,23,Psychic,Foul Play,Helping Hand,Trick Room
Whimsicott,3,3,5,252,0,12,4,204,36,31,0,31,31,31,31,Moonblast,Tailwind,Light Screen,Encore
Calyrex-Ice,3,2,1,236,148,4,140,124,148,31,31,31,31,31,0,Glacial Lance,High Horsepower,Trick Room,Protect
Incineroar,3,2,2,244,4,188,0,76,44,31,31,31,31,31,31,Fake Out,Will-O-Wisp,Parting Shot,Knock Off
Rillaboom,3,1,1,236,36,44,124,188,4,31,31,31,31,31,31,Fake Out,Wood Hammer,U-turn,Grassy Glide
Amoonguss,3,8,4,244,204,108,252,156,52,31,0,31,31,31,0,Spore,Rage Powder,Pollen Puff,Clear Smog
Kyogre,2,1,5,4,12,236,252,44,252,31,0,31,31,31,23,Water Spout,Origin Pulse,Ice Beam,Hydro Pump
Raging Bolt,2,2,3,140,0,108,252,4,4,31,20,31,31,31,31,Thunderbolt,Thunderclap,Draco Meteor,Protect
Dragonite,2,4,5,20,4,4,140,244,236,31,31,31,31,31,0,Scale Shot,Encore,Tailwind,Protect
Zacian-Crowned,2,2,1,92,236,12,0,4,164,31,31,31,31,31,31,Play Rough,Behemoth Blade,Close Combat,Protect
Calyrex-Shadow,3,2,5,4,36,44,252,188,252,31,0,31,31,31,31,Astral Barrage,Psychic,Disable,Protect
Urshifu-Rapid-Strike,2,3,1,28,156,4,252,140,180,31,0,31,31,31,0,Surging Strikes,Aqua Jet,Taunt,Protect
Landorus,2,2,3,244,12,28,116,76,44,31,0,31,31,31,23,Earth Power,Sludge Bomb,Substitute,Protect
Incineroar,3,2,2,252,0,252,252,4,4,31,20,31,31,31,28,Will-O-Wisp,Knock Off,Fake Out,Parting Shot
Miraidon,3,1,5,116,4,4,252,4,132,31,31,31,31,31,0,Electro Drift,Volt Switch,Parabolic Charge,Overheat
Raging Bolt,2,2,3,108,236,4,252,4,140,31,20,31,31,31,31,Protect,Draco Meteor,Rising Voltage,Thunderclap
Whimsicott,3,3,5,156,36,44,252,204,148,31,0,31,31,31,31,Tailwind,Light Screen,Grass Knot,Encore
Iron Bundle,3,2,5,28,156,4,252,4,252,31,0,31,31,31,0,Icy Wind,Ice Beam,U-turn,Protect
Groudon,0,1,1,252,76,4,116,92,84,31,0,31,31,31,23,Precipice Blades,Protect,Helping Hand,Heat Crash
Farigiraf,2,0,2,204,0,164,4,108,28,31,0,31,31,31,28,Helping Hand,Trick Room,Roar,Foul Play
Volcarona,0,4,5,124,4,244,4,4,132,31,31,31,31,31,0,Protect,Fiery Dance,Quiver Dance,Struggle Bug
Iron Hands,3,2,1,100,156,4,252,236,12,31,20,31,31,31,31,Drain Punch,Wild Charge,Low Kick,Fake Out
Miraidon,2,1,3,212,36,4,196,4,92,31,0,31,31,31,31,Electro Drift,Volt Switch,Draco Meteor,Dazzling Gleam
Grimmsnarl,2,3,4,140,4,140,252,196,28,31,0,31,31,31,0,Spirit Break,Reflect,Light Screen,Thunder Wave
Calyrex-Ice,2,2,1,228,36,4,116,204,36,31,0,31,31,31,23,Protect,Glacial Lance,Leech Seed,Trick Room
Farigiraf,2,0,2,228,0,236,4,44,28,31,28,31,31,31,28,Psychic,Foul Play,Trick Room,Helping Hand
Grimmsnarl,2,3,4,228,4,132,4,116,28,31,31,31,31,31,0,Spirit Break,Reflect,Light Screen,Thunder Wave
Miraidon,2,1,5,108,156,4,252,4,140,31,20,31,31,31,31,Dazzling Gleam,Volt Switch,Draco Meteor,Electro Drift
Rillaboom,3,1,1,228,36,4,196,92,148,31,0,31,31,31,31,Wood Hammer,Grassy Glide,U-turn,Fake Out
Incineroar,3,2,2,252,4,188,252,12,52,31,0,31,31,31,0,Knock Off,Will-O-Wisp,Parting Shot,Fake Out
Calyrex-Ice,2,2,1,228,36,4,116,196,44,31,0,31,31,31,23,Glacial Lance,Leech Seed,Trick Room,Protect
Annihilape,2,2,5,228,44,236,4,44,236,31,28,31,31,31,28,Close Combat,Final Gambit,Coaching,Rage Fist
Calyrex-Ice,3,2,1,244,116,4,4,140,4,31,31,31,31,31,0,Protect,Glacial Lance,High Horsepower,Trick Room
Miraidon,3,1,3,252,156,4,236,4,12,31,20,31,31,31,31,Electro Drift,Draco Meteor,Snarl,Volt Switch
Incineroar,3,2,4,252,4,84,196,156,12,31,0,31,31,31,31,Knock Off,Will-O-Wisp,Parting Shot,Fake Out
Amoonguss,3,8,2,236,4,156,252,116,52,31,0,31,31,31,0,Protect,Pollen Puff,Rage Powder,Spore
Chien-Pao,3,2,5,228,252,4,116,196,252,31,0,31,31,31,23,Protect,Icicle Crash,Ruination,Sucker Punch
Iron Treads,2,2,5,28,252,4,4,4,220,31,28,31,31,31,28,Protect,High Horsepower,Steel Roller,Wild Charge
Grimmsnarl,3,3,1,244,116,4,4,140,4,31,31,31,31,31,0,Spirit Break,Parting Shot,Light Screen,Thunder Wave
Miraidon,3,1,3,252,156,4,236,4,12,31,20,31,31,31,31,Parabolic Charge,Volt Switch,Electro Drift,Draco Meteor
Flutter Mane,3,2,4,252,4,84,196,156,12,31,0,31,31,31,31,Moonblast,Icy Wind,Taunt,Protect
Groudon,3,1,2,236,4,156,252,116,52,31,0,31,31,31,0,Precipice Blades,Heat Crash,Will-O-Wisp,Protect
Incineroar,1,2,5,228,252,4,116,196,252,31,0,31,31,31,23,Flare Blitz,Knock Off,Parting Shot,Fake Out
Volcarona,0,4,5,28,252,4,4,4,220,31,28,31,31,31,28,Struggle Bug,Fiery Dance,Quiver Dance,Protect
Landorus,2,2,3,20,116,4,196,36,252,31,31,31,31,31,0,Earth Power,Sandsear Storm,Sludge Bomb,U-turn
Okidogi,3,2,1,172,212,4,236,124,12,31,20,31,31,31,31,Drain Punch,Gunk Shot,Snarl,Low Kick
Ogerpon-Wellspring,2,0,2,252,12,124,196,44,76,31,0,31,31,31,31,Ivy Cudgel,Taunt,Follow Me,Spiky Shield
Calyrex-Ice,3,2,1,220,252,156,252,116,36,31,0,31,31,31,0,Glacial Lance,High Horsepower,Trick Room,Protect
Miraidon,2,1,3,124,252,4,164,4,212,31,0,31,31,31,23,Electro Drift,Draco Meteor,Volt Switch,Dazzling Gleam
Incineroar,3,2,4,236,252,116,4,156,220,31,28,31,31,31,23,Flare Blitz,Knock Off,Parting Shot,Fake Out
Terapagos,2,3,3,44,116,156,236,12,60,31,15,31,31,31,0,Protect,Tera Starstorm,Earth Power,Calm Mind
Calyrex-Shadow,2,2,5,4,212,4,252,124,252,31,0,31,31,31,31,Protect,Astral Barrage,Psychic,Nasty Plot
Incineroar,3,2,2,252,12,188,196,68,76,31,0,31,31,31,26,Helping Hand,Fake Out,Knock Off,Parting Shot
Rillaboom,3,1,1,212,84,4,252,204,4,31,0,31,31,31,0,Grassy Glide,Wood Hammer,Fake Out,U-turn
Flutter Mane,2,2,5,228,252,132,4,12,132,31,0,31,31,31,23,Moonblast,Icy Wind,Thunder Wave,Taunt
Amoonguss,3,8,4,188,252,236,4,84,220,31,0,31,31,31,0,Protect,Spore,Rage Powder,Pollen Puff
Miraidon,2,1,5,4,116,4,244,4,252,31,15,31,31,31,0,Electro Drift,Draco Meteor,Protect,Volt Switch
Calyrex-Shadow,3,2,5,52,212,4,196,4,252,31,0,31,31,31,31,Astral Barrage,Psychic,Disable,Protect
Incineroar,3,2,4,252,12,100,196,156,76,31,0,31,31,31,26,Fake Out,U-turn,Knock Off,Taunt
Iron Moth,2,2,3,20,84,12,244,4,228,31,0,31,31,31,0,Flamethrower,Heat Wave,Protect,Dazzling Gleam
Iron Bundle,3,2,5,228,252,132,252,4,252,31,0,31,31,31,23,Icy Wind,Protect,Ice Beam,Encore
Iron Hands,3,2,1,36,156,108,4,172,36,31,0,31,31,31,0,Fake Out,Wild Charge,Low Kick,Drain Punch
Kyogre,2,1,3,164,116,4,156,4,180,31,0,31,31,31,0,Water Spout,Hydro Pump,Ice Beam,Protect
Volcarona,3,4,5,252,212,196,196,4,60,31,0,31,31,31,31,Struggle Bug,Rage Powder,Will-O-Wisp,Protect
Rillaboom,3,1,1,204,36,4,196,252,12,31,0,31,31,31,26,Wood Hammer,Grassy Glide,U-turn,Fake Out
Whimsicott,3,3,5,252,84,4,4,196,52,31,0,31,31,31,0,Moonblast,Tailwind,Encore,Light Screen
Chien-Pao,3,2,1,228,252,4,252,4,252,31,0,31,31,31,23,Icicle Crash,Throat Chop,Sucker Punch,Protect
Giratina-Origin,2,0,1,108,252,52,36,60,36,31,0,31,31,31,0,Shadow Sneak,Poltergeist,Draco Meteor,Protect
Urshifu-Rapid-Strike,2,3,1,164,252,4,156,4,252,31,0,31,31,31,0,Aqua Jet,Close Combat,U-turn,Surging Strikes
Flutter Mane,2,2,5,156,212,36,60,4,252,31,0,31,31,31,31,Icy Wind,Shadow Ball,Protect,Moonblast
Farigiraf,2,0,2,236,36,156,196,116,12,31,0,31,31,31,0,Trick Room,Foul Play,Helping Hand,Psychic
Miraidon,2,1,3,36,84,4,220,196,252,31,0,31,31,31,0,Volt Switch,Draco Meteor,Protect,Electro Drift
Chien-Pao,3,2,5,4,252,4,252,4,252,31,0,31,31,31,23,Taunt,Icicle Crash,Protect,Sucker Punch
Zamazenta-Crowned,2,2,2,148,20,156,36,4,180,31,0,31,31,31,0,Wide Guard,Iron Head,Protect,Body Press
Chi-Yu,2,2,3,4,252,4,252,4,252,31,0,31,31,31,0,Heat Wave,Overheat,Snarl,Flamethrower
Urshifu-Rapid-Strike,2,3,1,44,244,4,60,108,108,31,0,31,31,31,31,Surging Strikes,Aqua Jet,Taunt,Detect
Farigiraf,2,0,2,180,36,228,196,100,12,31,0,31,31,31,0,Psychic Noise,Foul Play,Helping Hand,Trick Room
Whimsicott,3,3,5,4,84,4,252,196,252,31,0,31,31,31,0,Moonblast,Tailwind,Encore,Protect
Miraidon,2,1,3,100,252,4,196,4,204,31,0,31,31,31,23,Electro Drift,Volt Switch,Draco Meteor,Dazzling Gleam
Zacian-Crowned,2,2,5,108,244,156,36,4,156,31,0,31,31,31,0,Iron Head,Play Rough,Sacred Sword,Protect
Calyrex-Shadow,2,2,5,28,252,4,220,4,252,31,0,31,31,31,0,Astral Barrage,Psychic,Nasty Plot,Protect
Terapagos-Terastal,2,4,3,12,244,4,236,4,252,31,15,31,31,31,31,Tera Starstorm,Earth Power,Dark Pulse,Flamethrower
Iron Hands,3,2,1,36,236,116,196,108,12,31,0,31,31,31,0,Drain Punch,Fake Out,Wild Charge,Low Kick
Chi-Yu,2,2,3,4,84,4,244,4,252,31,0,31,31,31,0,Heat Wave,Overheat,Snarl,Dark Pulse
Smeargle,3,2,5,4,252,252,196,4,252,31,0,31,31,31,23,Follow Me,Spore,Decorate,Fake Out
Whimsicott,3,3,5,132,244,20,4,244,108,31,0,31,31,31,0,Tailwind,Moonblast,Fake Tears,Encore
Whimsicott,3,3,5,252,252,4,4,20,228,31,0,31,31,31,0,Fake Tears,Moonblast,Tailwind,Encore
Calyrex-Shadow,3,2,5,12,244,4,252,4,252,31,0,31,31,31,31,Astral Barrage,Psychic,Shadow Ball,Protect
Miraidon,2,1,5,4,236,4,244,4,252,31,0,31,31,31,0,Volt Switch,Electro Drift,Draco Meteor,Dazzling Gleam
Iron Hands,3,2,1,84,252,4,244,172,252,31,0,31,31,31,0,Drain Punch,Low Kick,Wild Charge,Fake Out
Chi-Yu,2,2,3,4,252,252,252,4,252,31,0,31,31,31,23,Flamethrower,Dark Pulse,Heat Wave,Snarl
