At index: 11 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1149 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1156 Name: Sinistcha, Ability Category: 8, Ability Name: Hospitality 
At index: 1165 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 1168 Name: Sinistcha, Ability Category: 8, Ability Name: Hospitality 
At index: 1186 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1247 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1288 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1305 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1331 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1358 Name: Sinistcha, Ability Category: 8, Ability Name: Hospitality 
At index: 1420 Name: Sinistcha, Ability Category: 8, Ability Name: Hospitality 
At index: 1430 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1444 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1466 Name: Sinistcha, Ability Category: 8, Ability Name: Hospitality 
At index: 1485 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1515 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1533 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1563 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1583 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1654 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1751 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1796 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1805 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1838 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1858 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1877 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1918 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1954 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1960 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 1985 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2043 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2055 Name: Sinistcha-Masterpiece, Ability Category: 8, Ability Name: Hospitality 
At index: 2081 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2093 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2121 Name: Sinistcha-Masterpiece, Ability Category: 8, Ability Name: Hospitality 
At index: 2139 Name: Sinistcha-Masterpiece, Ability Category: 8, Ability Name: Hospitality 
At index: 2152 Name: Sinistcha-Masterpiece, Ability Category: 8, Ability Name: Hospitality 
At index: 2163 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 2169 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2178 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 2221 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2231 Name: Sinistcha, Ability Category: 8, Ability Name: Hospitality 
At index: 2236 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2248 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2288 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2297 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2314 Name: Sinistcha, Ability Category: 8, Ability Name: Hospitality 
At index: 2344 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2385 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2393 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2399 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2417 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2446 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 2453 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2459 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2477 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2478 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2505 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2510 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2535 Name: Sinistcha-Masterpiece, Ability Category: 8, Ability Name: Hospitality 
At index: 2560 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2570 Name: Sinistcha, Ability Category: 8, Ability Name: Hospitality 
At index: 2602 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2620 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2623 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2648 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2659 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 2699 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2701 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 2722 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2746 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2783 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2806 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2809 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2841 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2855 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2871 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2879 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2949 Name: Sinistcha, Ability Category: 8, Ability Name: Hospitality 
At index: 2959 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 2975 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 2999 Name: Sinistcha, Ability Category: 8, Ability Name: Hospitality 
At index: 3004 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3060 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 3082 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3092 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3101 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3117 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3135 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3149 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3195 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3200 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3216 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3231 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3238 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3243 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3259 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3278 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3292 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3297 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3300 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3315 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3354 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3398 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3509 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3568 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 3573 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3587 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3598 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 3604 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3610 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3612 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3636 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3656 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 3658 Name: Sinistcha, Ability Category: 8, Ability Name: Hospitality 
At index: 3662 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3668 Name: Sinistcha, Ability Category: 8, Ability Name: Hospitality 
At index: 3706 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3715 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3720 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3729 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3753 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3763 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3813 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3818 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3839 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3842 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3866 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3935 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 3971 Name: Sinistcha, Ability Category: 8, Ability Name: Hospitality 
At index: 3993 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 4024 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 4030 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 4049 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 4067 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 4068 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 4078 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 4152 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 4171 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 4193 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 4198 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 4212 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 4256 Name: Sinistcha, Ability Category: 8, Ability Name: Hospitality 
At index: 4283 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 4323 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 4348 Name: Sinistcha, Ability Category: 8, Ability Name: Hospitality 
At index: 4405 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 4408 Name: Toxapex, Ability Category: 8, Ability Name: Regenerator 
At index: 4411 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 4414 Name: Sinistcha, Ability Category: 8, Ability Name: Hospitality 
At index: 4427 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 4430 Name: Sinistcha, Ability Category: 8, Ability Name: Hospitality 
At index: 4469 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 4474 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 4513 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 4532 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 4543 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 4621 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 4633 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 4641 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 4671 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 4704 Name: Toxapex, Ability Category: 8, Ability Name: Regenerator 
At index: 4706 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 4713 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 4728 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 4731 Name: Sinistcha, Ability Category: 8, Ability Name: Hospitality 
At index: 4734 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 4765 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 4777 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 4812 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 4840 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 4870 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 4879 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 4908 Name: Toxapex, Ability Category: 8, Ability Name: Regenerator 
At index: 4910 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 4945 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 4959 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 4983 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 4987 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 5046 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 5059 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 5148 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 5170 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 5172 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 5178 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 5181 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 5194 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 5265 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 5290 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 5317 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 5323 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 5377 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 5640 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 5649 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 5680 Name: Sinistcha, Ability Category: 8, Ability Name: Hospitality 
At index: 5698 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 5715 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 5743 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 5747 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 5764 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 5814 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 5842 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 5968 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 6044 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 6111 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 6114 Name: Ho-Oh, Ability Category: 8, Ability Name: Regenerator 
At index: 6163 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 6172 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 6179 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
At index: 6191 Name: Amoonguss, Ability Category: 8, Ability Name: Regenerator 
Set of Abilities: {'Regenerator', 'Hospitality'}
