At index: 0 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 264 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 270 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 277 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 280 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 282 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 289 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 293 Name: Torkoal, Ability Category: 1, Ability Name: Drought 
At index: 294 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 300 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 301 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 308 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 312 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 320 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 333 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 338 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 342 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 353 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 355 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 362 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 370 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 373 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 376 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 378 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 387 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 390 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 396 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 409 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 421 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 427 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 438 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 446 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 450 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 456 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 465 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 468 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 480 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 483 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 487 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 492 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 498 Name: Torkoal, Ability Category: 1, Ability Name: Drought 
At index: 500 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 502 Name: Indeedee-F, Ability Category: 1, Ability Name: Psychic Surge 
At index: 504 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 515 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 516 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 517 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 523 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 528 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 534 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 540 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 546 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 553 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 559 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 576 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 581 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 584 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 588 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 589 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 594 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 598 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 601 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 606 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 612 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 618 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 626 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 630 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 637 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 643 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 648 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 656 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 660 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 664 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 667 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 673 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 678 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 686 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 692 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 696 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 698 Name: Rayquaza, Ability Category: 1, Ability Name: Air Lock 
At index: 702 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 703 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 708 Name: Indeedee-F, Ability Category: 1, Ability Name: Psychic Surge 
At index: 710 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 714 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 723 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 728 Name: Indeedee-F, Ability Category: 1, Ability Name: Psychic Surge 
At index: 736 Name: Rayquaza, Ability Category: 1, Ability Name: Air Lock 
At index: 738 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 744 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 751 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 756 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 757 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 763 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 769 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 772 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 787 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 798 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 799 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 804 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 805 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 810 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 816 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 826 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 828 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 832 Name: Indeedee-F, Ability Category: 1, Ability Name: Psychic Surge 
At index: 833 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 834 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 841 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 847 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 857 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 859 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 861 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 863 Name: Pelipper, Ability Category: 1, Ability Name: Drizzle 
At index: 864 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 870 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 871 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 877 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 882 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 884 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 890 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 898 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 905 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 906 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 907 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 913 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 921 Name: Tyranitar, Ability Category: 1, Ability Name: Sand Stream 
At index: 923 Name: Pelipper, Ability Category: 1, Ability Name: Drizzle 
At index: 924 Name: Indeedee-F, Ability Category: 1, Ability Name: Psychic Surge 
At index: 931 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 937 Name: Indeedee-F, Ability Category: 1, Ability Name: Psychic Surge 
At index: 940 Name: Torkoal, Ability Category: 1, Ability Name: Drought 
At index: 943 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 951 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 955 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 958 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 963 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 966 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 973 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 979 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 984 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 991 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 996 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 1003 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1008 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 1018 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1020 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1023 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1026 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1032 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 1047 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1052 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 1056 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1062 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1068 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1074 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1081 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1088 Name: Terapagos-Stellar, Ability Category: 1, Ability Name: Teraform Zero 
At index: 1090 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1092 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1101 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1105 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1114 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1116 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1124 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1131 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1135 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1144 Name: Indeedee-F, Ability Category: 1, Ability Name: Psychic Surge 
At index: 1146 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 1153 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1161 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1164 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1178 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 1182 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 1190 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 1194 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1200 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 1201 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1206 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1208 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 1213 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1219 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 1225 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 1231 Name: Indeedee-F, Ability Category: 1, Ability Name: Psychic Surge 
At index: 1236 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 1242 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 1248 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1254 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1262 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1267 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 1274 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 1281 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1290 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1296 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 1297 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1303 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1308 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 1309 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1314 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1317 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1325 Name: Indeedee-F, Ability Category: 1, Ability Name: Psychic Surge 
At index: 1326 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1329 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1333 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1334 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1338 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 1350 Name: Indeedee-F, Ability Category: 1, Ability Name: Psychic Surge 
At index: 1355 Name: Torkoal, Ability Category: 1, Ability Name: Drought 
At index: 1357 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1362 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 1363 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1378 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1385 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 1388 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1390 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1395 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1398 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1404 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1410 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1414 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1417 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1427 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1432 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1434 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 1441 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1447 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1448 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1457 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1459 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1467 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1472 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1487 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1492 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1497 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1504 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1510 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 1512 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 1523 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1524 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1532 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1534 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 1542 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1546 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 1550 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1555 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1556 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1561 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1567 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1569 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 1576 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1581 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1584 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1590 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 1592 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1599 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1606 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1616 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1622 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1625 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1626 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 1636 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1638 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1644 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1651 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 1656 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 1658 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1661 Name: Indeedee-F, Ability Category: 1, Ability Name: Psychic Surge 
At index: 1664 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 1669 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1685 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1686 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 1691 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1694 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 1704 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 1707 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1713 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1716 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1723 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 1734 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 1736 Name: Indeedee-F, Ability Category: 1, Ability Name: Psychic Surge 
At index: 1740 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1741 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 1752 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 1758 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1759 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 1764 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1770 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1773 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1776 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1777 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 1782 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1785 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1792 Name: Indeedee-F, Ability Category: 1, Ability Name: Psychic Surge 
At index: 1801 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1806 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1816 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1818 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 1821 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1827 Name: Koraidon, Ability Category: 1, Ability Name: Orichalcum Pulse 
At index: 1830 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1832 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 1839 Name: Groudon, Ability Category: 1, Ability Name: Drought 
At index: 1843 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1849 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1855 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 1857 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1859 Name: Indeedee-F, Ability Category: 1, Ability Name: Psychic Surge 
At index: 1861 Name: Kyogre, Ability Category: 1, Ability Name: Drizzle 
At index: 1863 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1866 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1873 Name: Rillaboom, Ability Category: 1, Ability Name: Grassy Surge 
At index: 1874 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
At index: 1881 Name: Miraidon, Ability Category: 1, Ability Name: Hadron Engine 
