At index: 2 Name: Ursaluna-Bloodmoon, Ability Category: 3, Ability Name: Mind's Eye 
At index: 317 Name: Ogerpon-Hearthflame, Ability Category: 3, Ability Name: Mold Breaker 
At index: 319 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 329 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 335 Name: Ogerpon-Hearthflame, Ability Category: 3, Ability Name: Mold Breaker 
At index: 339 Name: Ogerpon-Hearthflame, Ability Category: 3, Ability Name: Mold Breaker 
At index: 344 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 346 Name: Ogerpon-Hearthflame, Ability Category: 3, Ability Name: Mold Breaker 
At index: 349 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 358 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 368 Name: Ogerpon-Hearthflame, Ability Category: 3, Ability Name: Mold Breaker 
At index: 380 Name: Ursaluna-Bloodmoon, Ability Category: 3, Ability Name: Mind's Eye 
At index: 394 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 404 Name: Ogerpon-Hearthflame, Ability Category: 3, Ability Name: Mold Breaker 
At index: 407 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 408 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 419 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 420 Name: Dondozo, Ability Category: 3, Ability Name: Unaware 
At index: 428 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 460 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 464 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 471 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 476 Name: Ditto, Ability Category: 3, Ability Name: Imposter 
At index: 489 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 495 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 503 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 506 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 508 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 521 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 522 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 525 Name: Cinccino, Ability Category: 3, Ability Name: Skill Link 
At index: 539 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 543 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 544 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 548 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 550 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 554 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 557 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 566 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 568 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 574 Name: Clefable, Ability Category: 3, Ability Name: Unaware 
At index: 580 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 582 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 599 Name: Flamigo, Ability Category: 3, Ability Name: Scrappy 
At index: 600 Name: Terapagos, Ability Category: 3, Ability Name: Tera Shift 
At index: 603 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 611 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 614 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 616 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 619 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 621 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 627 Name: Ogerpon-Hearthflame, Ability Category: 3, Ability Name: Mold Breaker 
At index: 629 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 632 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 633 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 644 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 645 Name: Ogerpon-Hearthflame, Ability Category: 3, Ability Name: Mold Breaker 
At index: 653 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 657 Name: Ogerpon-Hearthflame, Ability Category: 3, Ability Name: Mold Breaker 
At index: 659 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 665 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 669 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 675 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 681 Name: Ursaluna-Bloodmoon, Ability Category: 3, Ability Name: Mind's Eye 
At index: 682 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 688 Name: Ogerpon-Hearthflame, Ability Category: 3, Ability Name: Mold Breaker 
At index: 693 Name: Ogerpon-Hearthflame, Ability Category: 3, Ability Name: Mold Breaker 
At index: 697 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 704 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 725 Name: Flamigo, Ability Category: 3, Ability Name: Scrappy 
At index: 732 Name: Skeledirge, Ability Category: 3, Ability Name: Unaware 
At index: 742 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 746 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 749 Name: Urshifu, Ability Category: 3, Ability Name: Unseen Fist 
At index: 750 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 753 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 784 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 785 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 800 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 806 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 807 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 818 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 819 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 824 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 830 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 838 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 844 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 850 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 851 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 855 Name: Dondozo, Ability Category: 3, Ability Name: Unaware 
At index: 866 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 868 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 872 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 880 Name: Sableye, Ability Category: 3, Ability Name: Prankster 
At index: 888 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 894 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 903 Name: Urshifu, Ability Category: 3, Ability Name: Unseen Fist 
At index: 904 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 911 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 914 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 926 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 933 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 939 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 959 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 964 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 971 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 977 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 988 Name: Urshifu, Ability Category: 3, Ability Name: Unseen Fist 
At index: 990 Name: Dondozo, Ability Category: 3, Ability Name: Unaware 
At index: 1004 Name: Urshifu, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1017 Name: Terapagos, Ability Category: 3, Ability Name: Tera Shift 
At index: 1021 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1028 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 1029 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1039 Name: Ursaluna-Bloodmoon, Ability Category: 3, Ability Name: Mind's Eye 
At index: 1054 Name: Dondozo, Ability Category: 3, Ability Name: Unaware 
At index: 1061 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1067 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1072 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1078 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1084 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1085 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 1086 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1095 Name: Ursaluna-Bloodmoon, Ability Category: 3, Ability Name: Mind's Eye 
At index: 1096 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 1102 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 1103 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1109 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 1115 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 1120 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1127 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 1130 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 1138 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1140 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 1151 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1157 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1160 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 1166 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1174 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 1175 Name: Ogerpon-Hearthflame, Ability Category: 3, Ability Name: Mold Breaker 
At index: 1179 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1185 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1199 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1203 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1215 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1217 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 1227 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 1233 Name: Ursaluna-Bloodmoon, Ability Category: 3, Ability Name: Mind's Eye 
At index: 1234 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1238 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 1250 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1256 Name: Illumise, Ability Category: 3, Ability Name: Prankster 
At index: 1257 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1263 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 1264 Name: Urshifu, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1269 Name: Urshifu, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1277 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1283 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1294 Name: Ditto, Ability Category: 3, Ability Name: Imposter 
At index: 1298 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1301 Name: Ditto, Ability Category: 3, Ability Name: Imposter 
At index: 1307 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1318 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1322 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1324 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 1342 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1347 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1348 Name: Ditto, Ability Category: 3, Ability Name: Imposter 
At index: 1352 Name: Urshifu, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1361 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1372 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1373 Name: Ditto, Ability Category: 3, Ability Name: Imposter 
At index: 1376 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1384 Name: Dondozo, Ability Category: 3, Ability Name: Unaware 
At index: 1389 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 1391 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1392 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 1393 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1403 Name: Ogerpon-Hearthflame, Ability Category: 3, Ability Name: Mold Breaker 
At index: 1408 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1416 Name: Terapagos, Ability Category: 3, Ability Name: Tera Shift 
At index: 1418 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1422 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 1445 Name: Urshifu, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1449 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1454 Name: Ditto, Ability Category: 3, Ability Name: Imposter 
At index: 1456 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1460 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1462 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 1465 Name: Terapagos, Ability Category: 3, Ability Name: Tera Shift 
At index: 1480 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 1481 Name: Ogerpon-Hearthflame, Ability Category: 3, Ability Name: Mold Breaker 
At index: 1486 Name: Urshifu, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1489 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1495 Name: Ogerpon-Hearthflame, Ability Category: 3, Ability Name: Mold Breaker 
At index: 1503 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1521 Name: Ditto, Ability Category: 3, Ability Name: Imposter 
At index: 1522 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1529 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 1539 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1544 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 1551 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1554 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1566 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1578 Name: Terapagos, Ability Category: 3, Ability Name: Tera Shift 
At index: 1593 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 1596 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1603 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1605 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 1613 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 1614 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 1624 Name: Urshifu, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1637 Name: Ogerpon-Hearthflame, Ability Category: 3, Ability Name: Mold Breaker 
At index: 1643 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 1653 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1667 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1671 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1673 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 1682 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1701 Name: Ogerpon-Hearthflame, Ability Category: 3, Ability Name: Mold Breaker 
At index: 1702 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 1705 Name: Terapagos, Ability Category: 3, Ability Name: Tera Shift 
At index: 1714 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 1720 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1721 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 1730 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 1732 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1737 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1738 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1745 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1746 Name: Terapagos, Ability Category: 3, Ability Name: Tera Shift 
At index: 1748 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1754 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1760 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1763 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 1774 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1778 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 1798 Name: Dondozo, Ability Category: 3, Ability Name: Unaware 
At index: 1803 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1809 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1817 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1823 Name: Tornadus, Ability Category: 3, Ability Name: Prankster 
At index: 1824 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1828 Name: Ogerpon-Hearthflame, Ability Category: 3, Ability Name: Mold Breaker 
At index: 1833 Name: Urshifu, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1844 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1845 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1853 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1856 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1865 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1870 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1880 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1882 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1894 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1897 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 1900 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1909 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1911 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1916 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1922 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1923 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1930 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1934 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1937 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1941 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1955 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1956 Name: Terapagos, Ability Category: 3, Ability Name: Tera Shift 
At index: 1961 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1962 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1970 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 1971 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1981 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 1997 Name: Terapagos, Ability Category: 3, Ability Name: Tera Shift 
At index: 2001 Name: Urshifu, Ability Category: 3, Ability Name: Unseen Fist 
At index: 2014 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 2015 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 2016 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 2024 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 2026 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
At index: 2032 Name: Grimmsnarl, Ability Category: 3, Ability Name: Prankster 
At index: 2036 Name: Whimsicott, Ability Category: 3, Ability Name: Prankster 
At index: 2037 Name: Urshifu-Rapid-Strike, Ability Category: 3, Ability Name: Unseen Fist 
