At index: 1 Name: Sneasler, Ability Category: 2, Ability Name: Unburden 
At index: 88 Name: Annihilape, Ability Category: 2, Ability Name: Defiant 
At index: 90 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One 
At index: 91 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 92 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 95 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 96 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 98 Name: Basculegion, Ability Category: 2, Ability Name: Swift Swim 
At index: 100 Name: Iron Jugulis, Ability Category: 2, Ability Name: Quark Drive 
At index: 101 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 104 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 106 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 107 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 109 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 110 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 113 Name: Landorus, Ability Category: 2, Ability Name: Sheer Force 
At index: 117 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 118 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 120 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One 
At index: 121 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 122 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 124 Name: Ting-Lu, Ability Category: 2, Ability Name: Vessel of Ruin 
At index: 128 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 129 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 132 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One 
At index: 133 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 135 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 137 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 138 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 139 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One 
At index: 141 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 143 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 144 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 145 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 148 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 149 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 151 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 152 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 154 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 159 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 161 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 162 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One 
At index: 163 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 166 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 170 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One 
At index: 173 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 175 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One 
At index: 179 Name: Roaring Moon, Ability Category: 2, Ability Name: Protosynthesis 
At index: 180 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 184 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 185 Name: Iron Valiant, Ability Category: 2, Ability Name: Quark Drive 
At index: 187 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 188 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 190 Name: Landorus, Ability Category: 2, Ability Name: Sheer Force 
At index: 192 Name: Iron Hands, Ability Category: 2, Ability Name: Quark Drive 
At index: 194 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 195 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One 
At index: 197 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 201 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 205 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 207 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 213 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 215 Name: Iron Treads, Ability Category: 2, Ability Name: Quark Drive 
At index: 216 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 217 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 218 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 219 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 224 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 225 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 226 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 227 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 230 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 231 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 234 Name: Sneasler, Ability Category: 2, Ability Name: Unburden 
At index: 236 Name: Zacian, Ability Category: 2, Ability Name: Intrepid Sword 
At index: 237 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 239 Name: Scream Tail, Ability Category: 2, Ability Name: Protosynthesis 
At index: 240 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 242 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 243 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 245 Name: Iron Hands, Ability Category: 2, Ability Name: Quark Drive 
At index: 246 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 248 Name: Jumpluff, Ability Category: 2, Ability Name: Chlorophyll 
At index: 249 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 250 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 251 Name: Iron Hands, Ability Category: 2, Ability Name: Quark Drive 
At index: 253 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 255 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 260 Name: Ting-Lu, Ability Category: 2, Ability Name: Vessel of Ruin 
At index: 265 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 266 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 269 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 271 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 272 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 275 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 278 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 279 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 281 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 283 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 284 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 286 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 291 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 296 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 297 Name: Meowth-Alola, Ability Category: 2, Ability Name: Rattled 
At index: 298 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 299 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 303 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 306 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 307 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 309 Name: Basculegion, Ability Category: 2, Ability Name: Swift Swim 
At index: 311 Name: Ogerpon, Ability Category: 2, Ability Name: Defiant 
At index: 313 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 314 Name: Raichu-Alola, Ability Category: 2, Ability Name: Surge Surfer 
At index: 316 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 318 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 321 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 323 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 325 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 326 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 327 Name: Iron Hands, Ability Category: 2, Ability Name: Quark Drive 
At index: 328 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 330 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 331 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 332 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 334 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 336 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 337 Name: Zamazenta, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 340 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 341 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 343 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 345 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 347 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 348 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 350 Name: Zamazenta, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 351 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 352 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 354 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 356 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 357 Name: Landorus, Ability Category: 2, Ability Name: Sheer Force 
At index: 360 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 361 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 364 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 365 Name: Iron Jugulis, Ability Category: 2, Ability Name: Quark Drive 
At index: 366 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 367 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 369 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 371 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 372 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 374 Name: Basculegion, Ability Category: 2, Ability Name: Swift Swim 
At index: 377 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 379 Name: Sneasler, Ability Category: 2, Ability Name: Unburden 
At index: 381 Name: Iron Bundle, Ability Category: 2, Ability Name: Quark Drive 
At index: 383 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 384 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 385 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 388 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 389 Name: Scream Tail, Ability Category: 2, Ability Name: Protosynthesis 
At index: 393 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 395 Name: Iron Treads, Ability Category: 2, Ability Name: Quark Drive 
At index: 397 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 398 Name: Annihilape, Ability Category: 2, Ability Name: Defiant 
At index: 399 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 400 Name: Roaring Moon, Ability Category: 2, Ability Name: Protosynthesis 
At index: 402 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 403 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 405 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 406 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 410 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 411 Name: Landorus, Ability Category: 2, Ability Name: Sheer Force 
At index: 412 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 414 Name: Roaring Moon, Ability Category: 2, Ability Name: Protosynthesis 
At index: 415 Name: Milotic, Ability Category: 2, Ability Name: Competitive 
At index: 416 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 417 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 423 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 425 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 426 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 430 Name: Iron Hands, Ability Category: 2, Ability Name: Quark Drive 
At index: 431 Name: Iron Valiant, Ability Category: 2, Ability Name: Quark Drive 
At index: 432 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 433 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 434 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 436 Name: Zacian, Ability Category: 2, Ability Name: Intrepid Sword 
At index: 437 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 439 Name: Roaring Moon, Ability Category: 2, Ability Name: Protosynthesis 
At index: 441 Name: Landorus, Ability Category: 2, Ability Name: Sheer Force 
At index: 442 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 443 Name: Zamazenta, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 445 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 447 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 449 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 451 Name: Sewaddle, Ability Category: 2, Ability Name: Chlorophyll 
At index: 452 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 453 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 457 Name: Zacian-Crowned, Ability Category: 2, Ability Name: Intrepid Sword 
At index: 459 Name: Iron Jugulis, Ability Category: 2, Ability Name: Quark Drive 
At index: 461 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 462 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 463 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 466 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 467 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 469 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 472 Name: Landorus, Ability Category: 2, Ability Name: Sheer Force 
At index: 473 Name: Sneasler, Ability Category: 2, Ability Name: Unburden 
At index: 474 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 477 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 478 Name: Roaring Moon, Ability Category: 2, Ability Name: Protosynthesis 
At index: 481 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 482 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 484 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 486 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 488 Name: Landorus, Ability Category: 2, Ability Name: Sheer Force 
At index: 493 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 496 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 497 Name: Iron Hands, Ability Category: 2, Ability Name: Quark Drive 
At index: 501 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 507 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 509 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 510 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 511 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 512 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 513 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 518 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 519 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 524 Name: Zacian-Crowned, Ability Category: 2, Ability Name: Intrepid Sword 
At index: 529 Name: Zacian-Crowned, Ability Category: 2, Ability Name: Intrepid Sword 
At index: 532 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 536 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 538 Name: Iron Treads, Ability Category: 2, Ability Name: Quark Drive 
At index: 542 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 545 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 551 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 555 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 556 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 558 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 560 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 561 Name: Annihilape, Ability Category: 2, Ability Name: Defiant 
At index: 562 Name: Iron Bundle, Ability Category: 2, Ability Name: Quark Drive 
At index: 565 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 567 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 569 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 570 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 572 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 575 Name: Roaring Moon, Ability Category: 2, Ability Name: Protosynthesis 
At index: 577 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 579 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 583 Name: Gouging Fire, Ability Category: 2, Ability Name: Protosynthesis 
At index: 586 Name: Lilligant-Hisui, Ability Category: 2, Ability Name: Chlorophyll 
At index: 590 Name: Wo-Chien, Ability Category: 2, Ability Name: Tablets of Ruin 
At index: 591 Name: Flutter Mane, Ability Category: 2, Ability Name: Protosynthesis 
At index: 592 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 593 Name: Slither Wing, Ability Category: 2, Ability Name: Protosynthesis 
At index: 595 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 596 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 597 Name: Chi-Yu, Ability Category: 2, Ability Name: Beads of Ruin 
At index: 602 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 607 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 608 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 610 Name: Landorus, Ability Category: 2, Ability Name: Sheer Force 
At index: 615 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 617 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 620 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 623 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 624 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 625 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 628 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 634 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 635 Name: Ursaluna, Ability Category: 2, Ability Name: Guts 
At index: 636 Name: Calyrex-Ice, Ability Category: 2, Ability Name: As One 
At index: 638 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 639 Name: Landorus, Ability Category: 2, Ability Name: Sheer Force 
At index: 641 Name: Annihilape, Ability Category: 2, Ability Name: Defiant 
At index: 642 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 646 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 647 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 649 Name: Zacian-Crowned, Ability Category: 2, Ability Name: Intrepid Sword 
At index: 650 Name: Roaring Moon, Ability Category: 2, Ability Name: Protosynthesis 
At index: 652 Name: Iron Hands, Ability Category: 2, Ability Name: Quark Drive 
At index: 654 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 655 Name: Zamazenta, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 658 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 662 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 663 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 666 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 670 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 672 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 676 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 679 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 680 Name: Sneasler, Ability Category: 2, Ability Name: Unburden 
At index: 684 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 685 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 687 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 689 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
At index: 690 Name: Calyrex-Shadow, Ability Category: 2, Ability Name: As One (Spectrier) 
At index: 691 Name: Zamazenta-Crowned, Ability Category: 2, Ability Name: Dauntless Shield 
At index: 694 Name: Smeargle, Ability Category: 2, Ability Name: Moody 
At index: 695 Name: Raging Bolt, Ability Category: 2, Ability Name: Protosynthesis 
At index: 701 Name: Chien-Pao, Ability Category: 2, Ability Name: Sword of Ruin 
At index: 705 Name: Incineroar, Ability Category: 2, Ability Name: Intimidate 
