At index: 10 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 1536 Name: Dragonite, Ability Category: 4, Ability Name: Multiscale 
At index: 1548 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1571 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1591 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1609 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 1649 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 1666 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 1668 Name: Bastiodon, Ability Category: 4, Ability Name: Sturdy 
At index: 1680 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1688 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1690 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 1709 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1717 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 1727 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1744 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1749 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1761 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1769 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1779 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1799 Name: Glimmora, Ability Category: 4, Ability Name: Toxic Debris 
At index: 1822 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 1850 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1869 Name: Magmar, Ability Category: 4, Ability Name: Flame Body 
At index: 1884 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 1889 Name: Ho-Oh, Ability Category: 4, Ability Name: Pressure 
At index: 1895 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1931 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1950 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 1967 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1983 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 1989 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 1991 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 1993 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 1999 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 2020 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 2030 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 2038 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 2046 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 2063 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 2068 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 2090 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 2098 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 2106 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 2112 Name: Dragonite, Ability Category: 4, Ability Name: Multiscale 
At index: 2129 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 2211 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 2215 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 2235 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 2242 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 2258 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 2282 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 2302 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 2305 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 2375 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 2423 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 2434 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 2439 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 2441 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 2468 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 2473 Name: Terapagos, Ability Category: 4, Ability Name: Tera Shell 
At index: 2485 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 2495 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 2516 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 2548 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 2549 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 2550 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 2583 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 2588 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 2596 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 2622 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 2629 Name: Glimmora, Ability Category: 4, Ability Name: Toxic Debris 
At index: 2637 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 2639 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 2657 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 2668 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 2674 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 2686 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 2718 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 2740 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 2772 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 2773 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 2834 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 2844 Name: Zoroark-Hisui, Ability Category: 4, Ability Name: Illusion 
At index: 2856 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 2875 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 2883 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 2891 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 2893 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 2894 Name: Dragonite, Ability Category: 4, Ability Name: Multiscale 
At index: 2903 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 2909 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 2913 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 2916 Name: Dragonite, Ability Category: 4, Ability Name: Multiscale 
At index: 2923 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 2927 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 2936 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 2937 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 2940 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 2946 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 2954 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 2966 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 2987 Name: Dragonite, Ability Category: 4, Ability Name: Multiscale 
At index: 2995 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3029 Name: Necrozma-Dawn-Wings, Ability Category: 4, Ability Name: Prism Armor 
At index: 3041 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 3049 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3055 Name: Giratina, Ability Category: 4, Ability Name: Pressure 
At index: 3057 Name: Dragonite, Ability Category: 4, Ability Name: Multiscale 
At index: 3061 Name: Eternatus, Ability Category: 4, Ability Name: Pressure 
At index: 3084 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3089 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 3096 Name: Terapagos, Ability Category: 4, Ability Name: Tera Shell 
At index: 3113 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 3121 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3128 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 3130 Name: Archaludon, Ability Category: 4, Ability Name: Sturdy 
At index: 3136 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3140 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 3161 Name: Glimmora, Ability Category: 4, Ability Name: Toxic Debris 
At index: 3163 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3169 Name: Eternatus, Ability Category: 4, Ability Name: Pressure 
At index: 3170 Name: Lugia, Ability Category: 4, Ability Name: Pressure 
At index: 3177 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 3206 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3253 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3260 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 3266 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 3290 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 3295 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3337 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 3367 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 3400 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 3407 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3415 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3421 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3449 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3455 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 3458 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3459 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 3498 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3536 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 3580 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3585 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 3605 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 3615 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 3626 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3630 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3649 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3678 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3689 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 3696 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 3699 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 3713 Name: Indeedee-F, Ability Category: 4, Ability Name: Synchronize 
At index: 3727 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 3731 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 3736 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3743 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 3748 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3756 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3767 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 3793 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3801 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 3806 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3817 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3827 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3834 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3841 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 3852 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3861 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3875 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3877 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3894 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 3905 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3910 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 3914 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 3920 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 3923 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 3925 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3931 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 3941 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3943 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3949 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3955 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3964 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3966 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 3983 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 3996 Name: Lugia, Ability Category: 4, Ability Name: Multiscale 
At index: 4002 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4026 Name: Glimmora, Ability Category: 4, Ability Name: Toxic Debris 
At index: 4044 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 4048 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 4057 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4076 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 4080 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4086 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4089 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 4131 Name: Ho-Oh, Ability Category: 4, Ability Name: Pressure 
At index: 4141 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4178 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 4182 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4200 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 4201 Name: Eternatus, Ability Category: 4, Ability Name: Pressure 
At index: 4207 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4237 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4263 Name: Eternatus, Ability Category: 4, Ability Name: Pressure 
At index: 4287 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 4289 Name: Dragonite, Ability Category: 4, Ability Name: Multiscale 
At index: 4291 Name: Necrozma-Dawn-Wings, Ability Category: 4, Ability Name: Prism Armor 
At index: 4299 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 4302 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4311 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 4324 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 4332 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4347 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 4354 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 4357 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4375 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 4378 Name: Ogerpon-Cornerstone, Ability Category: 4, Ability Name: Sturdy 
At index: 4383 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 4389 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 4392 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4398 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4403 Name: Volcarona, Ability Category: 4, Ability Name: Flame Body 
At index: 4409 Name: Glimmora, Ability Category: 4, Ability Name: Toxic Debris 
At index: 4417 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4439 Name: Glimmora, Ability Category: 4, Ability Name: Toxic Debris 
At index: 4446 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4477 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4491 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4496 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 4506 Name: Terapagos-Terastal, Ability Category: 4, Ability Name: Tera Shell 
At index: 4519 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
At index: 4549 Name: Lunala, Ability Category: 4, Ability Name: Shadow Shield 
