name,item,gender,ability,level,tera_type,nature,evs.ev_hp,evs.ev_attack,evs.ev_defense,evs.ev_special_attack,evs.ev_special_defense,evs.ev_speed,ivs.iv_hp,ivs.iv_attack,ivs.iv_defense,ivs.iv_special_attack,ivs.iv_special_defense,ivs.iv_speed,moves.move_1,moves.move_2,moves.move_3,moves.move_4
Farigiraf,Electric Seed,Male,Armor Tail,50,Ground,Modest,116,0,156,156,76,4,31,0,31,31,31,31,Psychic,Trick Room,Helping Hand,Foul Play
Miraidon,Choice Scarf,Genderless,Hadron Engine,50,Electric,Timid,108,0,52,212,4,132,31,31,31,31,31,31,Electro Drift,Draco Meteor,Snarl,Volt Switch
Volcarona,Electric Seed,Female,Flame Body,50,Grass,Adamant,252,36,4,0,180,36,31,31,31,31,31,31,Protect,Quiver Dance,Fiery Dance,Giga Drain
Ogerpon,Covert Cloak,Female,Defiant,50,Grass,Adamant,252,116,36,0,28,76,31,31,31,31,31,31,Spiky Shield,Ivy Cudgel,Taunt,Encore
Zamazenta,Rusted Shield,Genderless,Dauntless Shield,50,Water,Modest,220,0,4,252,4,28,31,0,31,31,31,31,Protect,Body Press,Iron Head,Wide Guard
Rillaboom,Assault Vest,Female,Grassy Surge,50,Water,Adamant,4,252,0,0,0,252,31,31,31,31,31,31,Grassy Glide,Fake Out,Wood Hammer,U-turn
Chien-Pao,Focus Sash,Genderless,Sword of Ruin,50,Ghost,Modest,116,0,156,156,76,4,31,0,31,31,31,31,Protect,Sucker Punch,Icicle Crash,Crunch
Terapagos,Electric Seed,Female,Tera Shift,50,Stellar,Timid,108,0,52,212,4,132,31,31,31,31,31,31,Tera Starstorm,Earth Power,Calm Mind,Protect
Miraidon,Assault Vest,Genderless,Hadron Engine,50,Electric,Adamant,252,36,4,0,180,36,31,31,31,31,31,31,Electro Drift,Draco Meteor,Volt Switch,Snarl
Urshifu-Rapid-Strike,Choice Scarf,Male,Unseen Fist,50,Water,Adamant,252,116,36,0,28,76,31,31,31,31,31,31,Surging Strikes,Close Combat,U-turn,Rain Dance
Incineroar,Rocky Helmet,Female,Intimidate,50,Water,Modest,220,0,4,252,4,28,31,0,31,31,31,31,Flare Blitz,Knock Off,Parting Shot,Fake Out
Sinistcha,Focus Sash,Genderless,Hospitality,50,Fire,Adamant,4,252,0,0,0,252,31,31,31,31,31,31,Shadow Ball,Rage Powder,Strength Sap,Protect
Iron Treads,Choice Band,Genderless,Quark Drive,50,Bug,Modest,116,0,156,156,76,4,31,0,31,31,31,31,High Horsepower,Iron Head,Ice Spinner,Steel Roller
Tornadus,Sharp Beak,Male,Prankster,50,Dragon,Timid,108,0,52,212,4,132,31,31,31,31,31,31,Bleakwind Storm,Taunt,Tailwind,Protect
Smeargle,Focus Sash,Male,Moody,50,Ghost,Adamant,252,36,4,0,180,36,31,31,31,31,31,31,Spore,Decorate,Follow Me,Fake Out
Calyrex-Shadow,Life Orb,Genderless,As One,50,Dark,Adamant,252,116,36,0,28,76,31,31,31,31,31,31,Astral Barrage,Psychic,Nasty Plot,Protect
Raging Bolt,Booster Energy,Genderless,Protosynthesis,50,Electric,Modest,220,0,4,252,4,28,31,0,31,31,31,31,Thunderbolt,Draco Meteor,Thunderclap,Protect
Zamazenta,Rusted Shield,Genderless,Dauntless Shield,50,Grass,Adamant,4,252,0,0,0,252,31,31,31,31,31,31,Body Press,Heavy Slam,Wide Guard,Protect
Rillaboom,Assault Vest,Female,Grassy Surge,50,Fire,Modest,116,0,156,156,76,4,31,0,31,31,31,31,Wood Hammer,U-turn,Grassy Glide,Fake Out
Zamazenta,Rusted Shield,Genderless,Dauntless Shield,50,Water,Timid,108,0,52,212,4,132,31,31,31,31,31,31,Protect,Heavy Slam,Wide Guard,Body Press
Raging Bolt,Booster Energy,Genderless,Protosynthesis,50,Electric,Adamant,252,36,4,0,180,36,31,31,31,31,31,31,Protect,Thunderbolt,Dragon Pulse,Thunderclap
Amoonguss,Rocky Helmet,Male,Regenerator,50,Fairy,Adamant,252,116,36,0,28,76,31,31,31,31,31,31,Spore,Sludge Bomb,Rage Powder,Protect
Chien-Pao,Life Orb,Genderless,Sword of Ruin,50,Stellar,Modest,220,0,4,252,4,28,31,0,31,31,31,31,Ice Spinner,Taunt,Sucker Punch,Protect
Rillaboom,Assault Vest,Female,Grassy Surge,50,Fire,Adamant,4,252,0,0,0,252,31,31,31,31,31,31,Fake Out,Grassy Glide,Wood Hammer,U-turn
Calyrex-Shadow,Focus Sash,Genderless,As One,50,Ghost,Modest,116,0,156,156,76,4,31,0,31,31,31,31,Protect,Psychic,Astral Barrage,Encore
Koraidon,Clear Amulet,Genderless,Orichalcum Pulse,50,Fire,Timid,108,0,52,212,4,132,31,31,31,31,31,31,Protect,Flare Blitz,Collision Course,Flame Charge
Flutter Mane,Focus Sash,Genderless,Protosynthesis,50,Stellar,Adamant,252,36,4,0,180,36,31,31,31,31,31,31,Moonblast,Shadow Ball,Icy Wind,Taunt
Calyrex-Shadow,Spooky Plate,Genderless,As One,50,Normal,Adamant,252,116,36,0,28,76,31,31,31,31,31,31,Protect,Astral Barrage,Leech Seed,Substitute
Incineroar,Assault Vest,Female,Intimidate,50,Fairy,Modest,220,0,4,252,4,28,31,0,31,31,31,31,U-turn,Knock Off,Flare Blitz,Fake Out
Scream Tail,Booster Energy,Genderless,Protosynthesis,50,Dark,Adamant,4,252,0,0,0,252,31,31,31,31,31,31,Protect,Dazzling Gleam,Encore,Disable
Ogerpon-Wellspring,Wellspring Mask,Female,Water Absorb,50,Water,Modest,116,0,156,156,76,4,31,0,31,31,31,31,Spiky Shield,Ivy Cudgel,Horn Leech,Follow Me
Incineroar,Assault Vest,Male,Intimidate,50,Grass,Timid,108,0,52,212,4,132,31,31,31,31,31,31,Flare Blitz,Fake Out,U-turn,Knock Off
Miraidon,Choice Scarf,Genderless,Hadron Engine,50,Electric,Adamant,252,36,4,0,180,36,31,31,31,31,31,31,Volt Switch,Draco Meteor,Electro Drift,Snarl
Iron Treads,Life Orb,Genderless,Quark Drive,50,Ghost,Adamant,252,116,36,0,28,76,31,31,31,31,31,31,High Horsepower,Steel Roller,Protect,Iron Head
Calyrex-Ice,Never-Melt Ice,Genderless,As One,50,Fairy,Modest,220,0,4,252,4,28,31,0,31,31,31,31,Glacial Lance,Leech Seed,Trick Room,Protect
Amoonguss,Mental Herb,Male,Regenerator,50,Water,Adamant,4,252,0,0,0,252,31,31,31,31,31,31,Spore,Pollen Puff,Rage Powder,Protect
Urshifu,Focus Sash,Male,Unseen Fist,50,Stellar,Modest,116,0,156,156,76,4,31,0,31,31,31,31,Wicked Blow,Close Combat,Sucker Punch,Protect
Incineroar,Rocky Helmet,Male,Intimidate,50,Bug,Impish,252,4,116,212,52,84,31,31,31,31,31,31,Knock Off,Will-O-Wisp,Parting Shot,Fake Out
Rillaboom,Assault Vest,Female,Grassy Surge,50,Water,Adamant,252,4,76,0,172,4,31,31,31,31,31,31,Wood Hammer,Grassy Glide,U-turn,Fake Out
Miraidon,Choice Scarf,Genderless,Hadron Engine,50,Electric,Modest,132,116,28,124,4,220,31,31,31,31,31,31,Electro Drift,Draco Meteor,Volt Switch,Snarl
Grimmsnarl,Light Clay,Male,Prankster,50,Ghost,Careful,228,4,156,252,116,4,31,0,31,31,31,31,Reflect,Spirit Break,Light Screen,Thunder Wave
Ogerpon-Wellspring,Wellspring Mask,Female,Water Absorb,50,Water,Adamant,252,12,100,0,68,76,31,31,31,31,31,31,Ivy Cudgel,Taunt,Spiky Shield,Follow Me
Lunala,Leftovers,Genderless,Shadow Shield,50,Fairy,Modest,92,0,204,108,4,100,31,0,31,31,31,31,Moongeist Beam,Moonblast,Calm Mind,Protect
Sneasler,Electric Seed,Female,Unburden,50,Dark,Impish,252,4,116,212,52,84,31,31,31,31,31,31,Fake Out,Close Combat,Dire Claw,Acid Spray
Incineroar,Rocky Helmet,Male,Intimidate,50,Bug,Adamant,252,4,76,0,172,4,31,31,31,31,31,31,Fake Out,Parting Shot,Knock Off,Taunt
Ditto,Focus Sash,Male,Imposter,50,Ghost,Modest,132,116,28,124,4,220,31,31,31,31,31,31,Transform,Draco Meteor,Volt Switch,Snarl
Calyrex-Ice,Leftovers,Genderless,As One,50,Fire,Careful,228,4,156,252,116,4,31,0,31,31,31,31,Protect,Glacial Lance,Leech Seed,Trick Room
Grimmsnarl,Light Clay,Male,Prankster,50,Ghost,Adamant,252,12,100,0,68,76,31,31,31,31,31,31,Spirit Break,Reflect,Light Screen,Thunder Wave
Miraidon,Assault Vest,Genderless,Hadron Engine,50,Electric,Modest,92,0,204,108,4,100,31,0,31,31,31,31,Electro Drift,Volt Switch,Draco Meteor,Snarl
Incineroar,Assault Vest,Male,Intimidate,50,Bug,Impish,252,4,116,212,52,84,31,31,31,31,31,31,Flare Blitz,Knock Off,Fake Out,U-turn
Miraidon,Choice Specs,Genderless,Hadron Engine,50,Fairy,Adamant,252,4,76,0,172,4,31,31,31,31,31,31,Electro Drift,Draco Meteor,Dazzling Gleam,Volt Switch
Urshifu-Rapid-Strike,Choice Band,Female,Unseen Fist,50,Ghost,Modest,132,116,28,124,4,220,31,31,31,31,31,31,Close Combat,Surging Strikes,U-turn,Aqua Jet
Ursaluna,Flame Orb,Male,Guts,50,Ghost,Careful,228,4,156,252,116,4,31,0,31,31,31,31,Facade,Headlong Rush,Earthquake,Protect
Whimsicott,Covert Cloak,Male,Prankster,50,Water,Adamant,252,12,100,0,68,76,31,31,31,31,31,31,Moonblast,Encore,Light Screen,Tailwind
Lunala,Electric Seed,Genderless,Shadow Shield,50,Fairy,Modest,92,0,204,108,4,100,31,0,31,31,31,31,Moongeist Beam,Moonblast,Wide Guard,Trick Room
Iron Treads,Life Orb,Genderless,Quark Drive,50,Ghost,Impish,252,4,116,212,52,84,31,31,31,31,31,31,Steel Roller,High Horsepower,Knock Off,Iron Head
Terapagos,Electric Seed,Female,Tera Shift,50,Stellar,Adamant,252,4,76,0,172,4,31,31,31,31,31,31,Tera Starstorm,Earth Power,Calm Mind,Protect
Sinistcha,Focus Sash,Genderless,Hospitality,50,Fire,Modest,132,116,28,124,4,220,31,31,31,31,31,31,Rage Powder,Shadow Ball,Protect,Strength Sap
Miraidon,Choice Scarf,Genderless,Hadron Engine,50,Electric,Careful,228,4,156,252,116,4,31,0,31,31,31,31,Electro Drift,Draco Meteor,Volt Switch,Snarl
Ogerpon-Wellspring,Wellspring Mask,Female,Water Absorb,50,Water,Adamant,252,12,100,0,68,76,31,31,31,31,31,31,Ivy Cudgel,Spiky Shield,Taunt,Follow Me
Incineroar,Rocky Helmet,Female,Intimidate,50,Bug,Modest,92,0,204,108,4,100,31,0,31,31,31,31,Fake Out,Will-O-Wisp,Knock Off,Parting Shot
Calyrex-Shadow,Life Orb,Genderless,As One,50,Dark,Impish,252,4,116,212,52,84,31,31,31,31,31,31,Astral Barrage,Psychic,Nasty Plot,Protect
Zamazenta,Rusted Shield,Genderless,Dauntless Shield,50,Water,Adamant,252,4,76,0,172,4,31,31,31,31,31,31,Body Press,Heavy Slam,Wide Guard,Protect
Rillaboom,Assault Vest,Male,Grassy Surge,50,Fire,Modest,132,116,28,124,4,220,31,31,31,31,31,31,Wood Hammer,Grassy Glide,U-turn,Fake Out
Raging Bolt,Booster Energy,Genderless,Protosynthesis,50,Electric,Careful,228,4,156,252,116,4,31,0,31,31,31,31,Thunderbolt,Dragon Pulse,Thunderclap,Protect
Smeargle,Focus Sash,Male,Moody,50,Ghost,Adamant,252,12,100,0,68,76,31,31,31,31,31,31,Spore,Follow Me,Wide Guard,Fake Out
Incineroar,Safety Goggles,Male,Intimidate,50,Bug,Modest,92,0,204,108,4,100,31,0,31,31,31,31,Knock Off,Helping Hand,Parting Shot,Fake Out
Calyrex-Shadow,Life Orb,Genderless,As One (Spectrier),50,Dark,Impish,252,4,116,212,52,84,31,31,31,31,31,31,Astral Barrage,Psychic,Substitute,Protect
Zamazenta-Crowned,Rusted Shield,Male,Dauntless Shield,50,Dragon,Adamant,252,4,76,0,172,4,31,31,31,31,31,31,Body Press,Heavy Slam,Wide Guard,Protect
Chien-Pao,Focus Sash,Genderless,Sword of Ruin,50,Ghost,Modest,132,116,28,124,4,220,31,31,31,31,31,31,Ice Spinner,Sucker Punch,Taunt,Protect
Raging Bolt,Booster Energy,Genderless,Protosynthesis,50,Electric,Careful,228,4,156,252,116,4,31,0,31,31,31,31,Thunderbolt,Thunderclap,Dragon Pulse,Protect
Whimsicott,Covert Cloak,Female,Prankster,50,Dark,Adamant,252,12,100,0,68,76,31,31,31,31,31,31,Moonblast,Encore,Fake Tears,Tailwind
Ogerpon-Hearthflame,Hearthflame Mask,Female,Mold Breaker,50,Fire,Modest,92,0,204,108,4,100,31,0,31,31,31,31,Wood Hammer,Ivy Cudgel,Follow Me,Spiky Shield
Calyrex-Ice,Leftovers,Genderless,As One,50,Fairy,Impish,252,4,116,212,52,84,31,31,31,31,31,31,Glacial Lance,Leech Seed,Trick Room,Protect
Landorus,Choice Scarf,Male,Sheer Force,50,Ghost,Adamant,252,4,76,0,172,4,31,31,31,31,31,31,Earth Power,Sandsear Storm,Sludge Bomb,Crunch
Incineroar,Safety Goggles,Female,Intimidate,50,Bug,Modest,132,116,28,124,4,220,31,31,31,31,31,31,Knock Off,Taunt,Parting Shot,Fake Out
Amoonguss,Rocky Helmet,Male,Regenerator,50,Water,Careful,228,4,156,252,116,4,31,0,31,31,31,31,Pollen Puff,Spore,Rage Powder,Protect
Urshifu,Focus Sash,Male,Unseen Fist,50,Stellar,Adamant,252,12,100,0,68,76,31,31,31,31,31,31,Wicked Blow,Close Combat,Sucker Punch,Detect
Miraidon,Assault Vest,Genderless,Hadron Engine,50,Electric,Modest,92,0,204,108,4,100,31,0,31,31,31,31,Electro Drift,Draco Meteor,Snarl,Volt Switch
Volcarona,Rocky Helmet,Female,Flame Body,50,Dragon,Impish,252,4,116,212,52,84,31,31,31,31,31,31,Fiery Dance,Rage Powder,Will-O-Wisp,Protect
Urshifu-Rapid-Strike,Focus Sash,Female,Unseen Fist,50,Stellar,Adamant,252,4,76,0,172,4,31,31,31,31,31,31,Surging Strikes,Close Combat,Taunt,Protect
Calyrex-Ice,Clear Amulet,Genderless,As One,50,Water,Modest,132,116,28,124,4,220,31,31,31,31,31,31,Glacial Lance,High Horsepower,Trick Room,Protect
Iron Hands,Assault Vest,Genderless,Quark Drive,50,Bug,Careful,228,4,156,252,116,4,31,0,31,31,31,31,Drain Punch,Fake Out,Wild Charge,Low Kick
Miraidon,Choice Scarf,Genderless,Hadron Engine,50,Electric,Adamant,252,12,100,0,68,76,31,31,31,31,31,31,Electro Drift,Draco Meteor,Volt Switch,Snarl
Farigiraf,Electric Seed,Male,Armor Tail,50,Water,Modest,92,0,204,108,4,100,31,0,31,31,31,31,Psychic,Foul Play,Trick Room,Helping Hand
Calyrex-Shadow,Life Orb,Genderless,As One,50,Dark,Impish,252,4,116,212,52,84,31,31,31,31,31,31,Astral Barrage,Psychic,Nasty Plot,Protect
Ogerpon-Hearthflame,Hearthflame Mask,Female,Mold Breaker,50,Fire,Adamant,252,4,76,0,172,4,31,31,31,31,31,31,Ivy Cudgel,Grassy Glide,Follow Me,Spiky Shield
Incineroar,Rocky Helmet,Male,Intimidate,50,Bug,Modest,132,116,28,124,4,220,31,31,31,31,31,31,Parting Shot,Knock Off,Helping Hand,Fake Out
Rillaboom,Assault Vest,Male,Grassy Surge,50,Fire,Careful,228,4,156,252,116,4,31,0,31,31,31,31,Wood Hammer,Grassy Glide,U-turn,Fake Out
Raging Bolt,Magnet,Genderless,Protosynthesis,50,Electric,Adamant,252,12,100,0,68,76,31,31,31,31,31,31,Thunderbolt,Dragon Pulse,Thunderclap,Protect
Zamazenta,Rusted Shield,Genderless,Dauntless Shield,50,Water,Modest,92,0,204,108,4,100,31,0,31,31,31,31,Body Press,Heavy Slam,Protect,Wide Guard
Volcarona,Leftovers,Female,Flame Body,50,Dragon,Impish,252,4,116,212,52,84,31,31,31,31,31,31,Flamethrower,Quiver Dance,Protect,Struggle Bug
Chien-Pao,Focus Sash,Genderless,Sword of Ruin,50,Stellar,Adamant,252,4,76,0,172,4,31,31,31,31,31,31,Icicle Crash,Sucker Punch,Crunch,Protect
Zamazenta,Rusted Shield,Genderless,Dauntless Shield,50,Water,Modest,132,116,28,124,4,220,31,31,31,31,31,31,Heavy Slam,Body Press,Protect,Wide Guard
Grimmsnarl,Light Clay,Male,Prankster,50,Ghost,Careful,228,4,156,252,116,4,31,0,31,31,31,31,Reflect,Spirit Break,Light Screen,Thunder Wave
Miraidon,Choice Specs,Genderless,Hadron Engine,50,Fairy,Adamant,252,12,100,0,68,76,31,31,31,31,31,31,Dazzling Gleam,Volt Switch,Draco Meteor,Electro Drift
Iron Hands,Assault Vest,Genderless,Quark Drive,50,Water,Modest,92,0,204,108,4,100,31,0,31,31,31,31,Wild Charge,Drain Punch,Low Kick,Fake Out
Brute Bonnet,Sitrus Berry,Genderless,Protosynthesis,50,Water,Impish,252,4,116,212,52,84,31,31,31,31,31,31,Seed Bomb,Sucker Punch,Spore,Rage Powder
Lunala,Power Herb,Genderless,Shadow Shield,50,Water,Adamant,252,4,76,0,172,4,31,31,31,31,31,31,Moongeist Beam,Meteor Beam,Wide Guard,Trick Room
Ursaluna,Flame Orb,Male,Guts,50,Ghost,Modest,132,116,28,124,4,220,31,31,31,31,31,31,Headlong Rush,Facade,Earthquake,Protect
Chi-Yu,Choice Scarf,Genderless,Beads of Ruin,50,Ghost,Careful,228,4,156,252,116,4,31,0,31,31,31,31,Dark Pulse,Heat Wave,Overheat,Snarl
Koraidon,Life Orb,Genderless,Orichalcum Pulse,50,Fire,Adamant,252,12,100,0,68,76,31,31,31,31,31,31,Close Combat,Flare Blitz,Flame Charge,Protect
Flutter Mane,Focus Sash,Genderless,Protosynthesis,50,Stellar,Modest,92,0,204,108,4,100,31,0,31,31,31,31,Shadow Ball,Moonblast,Icy Wind,Protect
Kyogre,Mystic Water,Genderless,Drizzle,50,Grass,Impish,252,4,116,212,52,84,31,31,31,31,31,31,Origin Pulse,Protect,Hydro Pump,Water Spout
Basculegion,Life Orb,Female,Swift Swim,50,Ghost,Adamant,252,4,76,0,172,4,31,31,31,31,31,31,Wave Crash,Last Respects,Protect,Aqua Jet
Flutter Mane,Focus Sash,Genderless,Protosynthesis,50,Fairy,Modest,132,116,28,124,4,220,31,31,31,31,31,31,Moonblast,Icy Wind,Shadow Ball,Taunt
Amoonguss,Mental Herb,Male,Regenerator,50,Dark,Careful,228,4,156,252,116,4,31,0,31,31,31,31,Rage Powder,Pollen Puff,Spore,Protect
Calyrex-Ice,Leftovers,Genderless,As One,50,Fairy,Adamant,252,12,100,0,68,76,31,31,31,31,31,31,Glacial Lance,Trick Room,Leech Seed,Protect
Iron Jugulis,Booster Energy,Genderless,Quark Drive,50,Fire,Modest,92,0,204,108,4,100,31,0,31,31,31,31,Tailwind,Snarl,Protect,Hurricane
Incineroar,Rocky Helmet,Male,Intimidate,50,Bug,Impish,252,4,116,212,52,84,31,31,31,31,31,31,Knock Off,Taunt,Fake Out,Parting Shot
Sneasler,Electric Seed,Female,Unburden,50,Dark,Adamant,252,4,76,0,172,4,31,31,31,31,31,31,Fake Out,Close Combat,Dire Claw,Acid Spray
Calyrex-Ice,Leftovers,Genderless,As One,50,Fire,Modest,132,116,28,124,4,220,31,31,31,31,31,31,Protect,Glacial Lance,Leech Seed,Trick Room
Ditto,Focus Sash,Male,Imposter,50,Ghost,Careful,228,4,156,252,116,4,31,0,31,31,31,31,Transform,Pollen Puff,Spore,Protect
Grimmsnarl,Light Clay,Male,Prankster,50,Ghost,Adamant,252,12,100,0,68,76,31,31,31,31,31,31,Spirit Break,Reflect,Light Screen,Thunder Wave
Miraidon,Assault Vest,Genderless,Hadron Engine,50,Electric,Modest,92,0,204,108,4,100,31,0,31,31,31,31,Electro Drift,Volt Switch,Draco Meteor,Snarl
Miraidon,Choice Specs,Genderless,Hadron Engine,50,Fairy,Modest,212,4,4,140,4,148,31,31,31,31,31,31,Dazzling Gleam,Draco Meteor,Electro Drift,Volt Switch
Zamazenta-Crowned,Rusted Shield,Female,Dauntless Shield,50,Dragon,Impish,236,4,204,0,20,44,31,31,31,31,31,31,Body Press,Heavy Slam,Wide Guard,Protect
Chien-Pao,Focus Sash,Genderless,Sword of Ruin,50,Stellar,Adamant,132,252,4,124,4,252,31,31,31,31,31,31,Icicle Crash,Crunch,Sucker Punch,Protect
Iron Hands,Assault Vest,Genderless,Quark Drive,50,Water,Adamant,100,204,60,252,92,52,31,0,31,31,31,31,Wild Charge,Low Kick,Ice Punch,Fake Out
Farigiraf,Electric Seed,Female,Armor Tail,50,Water,Bold,228,12,236,0,44,76,31,0,31,31,31,23,Psychic,Foul Play,Helping Hand,Trick Room
Whimsicott,Covert Cloak,Female,Prankster,50,Fire,Timid,252,0,12,4,204,36,31,0,31,31,31,31,Moonblast,Tailwind,Light Screen,Encore
Calyrex-Ice,Clear Amulet,Genderless,As One (Glastrier),50,Fairy,Brave,236,148,4,140,124,148,31,31,31,31,31,0,Glacial Lance,High Horsepower,Trick Room,Protect
Incineroar,Safety Goggles,Male,Intimidate,50,Bug,Impish,244,4,188,0,76,44,31,31,31,31,31,31,Fake Out,Will-O-Wisp,Parting Shot,Knock Off
Rillaboom,Assault Vest,Female,Grassy Surge,50,Fire,Adamant,236,36,44,124,188,4,31,31,31,31,31,31,Fake Out,Wood Hammer,U-turn,Grassy Glide
Amoonguss,Rocky Helmet,Female,Regenerator,50,Water,Sassy,244,204,108,252,156,52,31,0,31,31,31,0,Spore,Rage Powder,Pollen Puff,Clear Smog
Kyogre,Choice Scarf,Genderless,Drizzle,50,Water,Timid,4,12,236,252,44,252,31,0,31,31,31,23,Water Spout,Origin Pulse,Ice Beam,Hydro Pump
Raging Bolt,Life Orb,Genderless,Protosynthesis,50,Electric,Modest,140,0,108,252,4,4,31,20,31,31,31,31,Thunderbolt,Thunderclap,Draco Meteor,Protect
Dragonite,Loaded Dice,Female,Multiscale,50,Poison,Jolly,20,4,4,140,244,236,31,31,31,31,31,0,Scale Shot,Encore,Tailwind,Protect
Zacian-Crowned,Rusted Sword,Male,Intrepid Sword,50,Dark,Adamant,92,236,12,0,4,164,31,31,31,31,31,31,Play Rough,Behemoth Blade,Close Combat,Protect
Calyrex-Shadow,Focus Sash,Genderless,As One (Spectrier),50,Ghost,Timid,4,36,44,252,188,252,31,0,31,31,31,31,Astral Barrage,Psychic,Disable,Protect
Urshifu-Rapid-Strike,Mystic Water,Female,Unseen Fist,50,Water,Adamant,28,156,4,252,140,180,31,0,31,31,31,0,Surging Strikes,Aqua Jet,Taunt,Protect
Landorus,Life Orb,Male,Sheer Force,50,Water,Modest,244,12,28,116,76,44,31,0,31,31,31,23,Earth Power,Sludge Bomb,Substitute,Protect
Incineroar,Rocky Helmet,Male,Intimidate,50,Grass,Impish,252,0,252,252,4,4,31,20,31,31,31,28,Will-O-Wisp,Knock Off,Fake Out,Parting Shot
Miraidon,Assault Vest,Genderless,Hadron Engine,50,Fire,Timid,116,4,4,252,4,132,31,31,31,31,31,0,Electro Drift,Volt Switch,Parabolic Charge,Overheat
Raging Bolt,Life Orb,Genderless,Protosynthesis,50,Electric,Modest,108,236,4,252,4,140,31,20,31,31,31,31,Protect,Draco Meteor,Rising Voltage,Thunderclap
Whimsicott,Covert Cloak,Female,Prankster,50,Steel,Timid,156,36,44,252,204,148,31,0,31,31,31,31,Tailwind,Light Screen,Grass Knot,Encore
Iron Bundle,Focus Sash,Genderless,Quark Drive,50,Ground,Timid,28,156,4,252,4,252,31,0,31,31,31,0,Icy Wind,Ice Beam,U-turn,Protect
Groudon,Leftovers,Genderless,Drought,50,Fire,Adamant,252,76,4,116,92,84,31,0,31,31,31,23,Precipice Blades,Protect,Helping Hand,Heat Crash
Farigiraf,Electric Seed,Male,Armor Tail,50,Fairy,Bold,204,0,164,4,108,28,31,0,31,31,31,28,Helping Hand,Trick Room,Roar,Foul Play
Volcarona,Leftovers,Female,Flame Body,59,Water,Timid,124,4,244,4,4,132,31,31,31,31,31,0,Protect,Fiery Dance,Quiver Dance,Struggle Bug
Iron Hands,Assault Vest,Genderless,Quark Drive,50,Water,Adamant,100,156,4,252,236,12,31,20,31,31,31,31,Drain Punch,Wild Charge,Low Kick,Fake Out
